profession,publicprivate,value,income
Civilingenjör,private,0.00124100273,-25000
Civilingenjör,private,0.001613303549,25000-25999
Civilingenjör,private,0.002084884587,26000-26999
Civilingenjör,private,0.004740630429,27000-27999
Civilingenjör,private,0.011690245719,28000-28999
Civilingenjör,private,0.01628195582,29000-29999
Civilingenjör,private,0.022611069744,30000-30999
Civilingenjör,private,0.021792007942,31000-31999
Civilingenjör,private,0.022933730454,32000-32999
Civilingenjör,private,0.0229089104,33000-33999
Civilingenjör,private,0.02506825515,34000-34999
Civilingenjör,private,0.028989823778,35000-35999
Civilingenjör,private,0.028344502358,36000-36999
Civilingenjör,private,0.030280466617,37000-37999
Civilingenjör,private,0.03104988831,38000-38999
Civilingenjör,private,0.028915363614,39000-39999
Civilingenjör,private,0.036088359394,40000-40999
Civilingenjör,private,0.0307272276,41000-41999
Civilingenjör,private,0.034102755026,42000-42999
Civilingenjör,private,0.031943410276,43000-43999
Civilingenjör,private,0.029262844378,44000-44999
Civilingenjör,private,0.03261355175,45000-45999
Civilingenjör,private,0.030354926781,46000-46999
Civilingenjör,private,0.027773641102,47000-47999
Civilingenjör,private,0.027624720774,48000-48999
Civilingenjör,private,0.025887316952,49000-49999
Civilingenjör,private,0.030603127327,50000-50999
Civilingenjör,private,0.023876892529,51000-51999
Civilingenjör,private,0.024050632911,52000-52999
Civilingenjör,private,0.02194092827,53000-53999
Civilingenjör,private,0.019185902209,54000-54999
Civilingenjör,private,0.020774385704,55000-55999
Civilingenjör,private,0.017969719533,56000-56999
Civilingenjör,private,0.016430876148,57000-57999
Civilingenjör,private,0.015189873418,58000-58999
Civilingenjör,private,0.012782328121,59000-59999
Civilingenjör,private,0.015661454455,60000-60999
Civilingenjör,private,0.01067262348,61000-61999
Civilingenjör,private,0.011243484736,62000-62999
Civilingenjör,private,0.010052122115,63000-63999
Civilingenjör,private,0.008761479275,64000-64999
Civilingenjör,private,0.010598163316,65000-65999
Civilingenjör,private,0.007743857036,66000-66999
Civilingenjör,private,0.007470836436,67000-67999
Civilingenjör,private,0.00625465376,68000-68999
Civilingenjör,private,0.005956813105,69000-69999
Civilingenjör,private,0.007396376272,70000-70999
Civilingenjör,private,0.004939190866,71000-71999
Civilingenjör,private,0.00501365103,72000-72999
Civilingenjör,private,0.00436832961,73000-73999
Civilingenjör,private,0.003871928518,74000-74999
Civilingenjör,private,0.005162571358,75000-75999
Civilingenjör,private,0.003276247208,76000-76999
Civilingenjör,private,0.002928766443,77000-77999
Civilingenjör,private,0.003226607099,78000-78999
Civilingenjör,private,0.002879126334,79000-79999
Civilingenjör,private,0.052792256143,80000-
