profession,publicprivate,value,income
Socionom,public,0.056343608844,-25000
Socionom,public,0.055788889769,25000-25999
Socionom,public,0.075758776448,26000-26999
Socionom,public,0.082653142087,27000-27999
Socionom,public,0.092955067755,28000-28999
Socionom,public,0.100483398051,29000-29999
Socionom,public,0.101038117125,30000-30999
Socionom,public,0.080751248118,31000-31999
Socionom,public,0.071400269435,32000-32999
Socionom,public,0.054600206039,33000-33999
Socionom,public,0.042475631984,34000-34999
Socionom,public,0.027577462556,35000-35999
Socionom,public,0.023773674618,36000-36999
Socionom,public,0.017671764799,37000-37999
Socionom,public,0.016483081068,38000-38999
Socionom,public,0.014184959189,39000-39999
Socionom,public,0.014264204771,40000-40999
Socionom,public,0.010698153578,41000-41999
Socionom,public,0.009430224265,42000-42999
Socionom,public,0.005943418654,43000-43999
Socionom,public,0.007132102385,44000-44999
Socionom,public,0.005150962834,45000-45999
Socionom,public,0.033441635629,46000-
