percentile,profession,publicprivate,income
3,Civilingenjör,public,26400
4,Civilingenjör,public,26900
5,Civilingenjör,public,27400
6,Civilingenjör,public,27800
7,Civilingenjör,public,28000
8,Civilingenjör,public,28500
9,Civilingenjör,public,29000
10,Civilingenjör,public,29400
11,Civilingenjör,public,29820
12,Civilingenjör,public,30100
13,Civilingenjör,public,30500
14,Civilingenjör,public,30800
15,Civilingenjör,public,31100
16,Civilingenjör,public,31500
17,Civilingenjör,public,31500
18,Civilingenjör,public,31990
19,Civilingenjör,public,32200
20,Civilingenjör,public,32645
21,Civilingenjör,public,33000
22,Civilingenjör,public,33400
23,Civilingenjör,public,33800
24,Civilingenjör,public,34000
25,Civilingenjör,public,34300
26,Civilingenjör,public,34600
27,Civilingenjör,public,35000
28,Civilingenjör,public,35200
29,Civilingenjör,public,35600
30,Civilingenjör,public,35900
31,Civilingenjör,public,36000
32,Civilingenjör,public,36400
33,Civilingenjör,public,36650
34,Civilingenjör,public,37000
35,Civilingenjör,public,37194
36,Civilingenjör,public,37500
37,Civilingenjör,public,37800
38,Civilingenjör,public,38000
39,Civilingenjör,public,38200
40,Civilingenjör,public,38500
41,Civilingenjör,public,38900
42,Civilingenjör,public,39100
43,Civilingenjör,public,39600
44,Civilingenjör,public,39900
45,Civilingenjör,public,40000
46,Civilingenjör,public,40200
47,Civilingenjör,public,40500
48,Civilingenjör,public,40800
49,Civilingenjör,public,41000
50,Civilingenjör,public,41200
51,Civilingenjör,public,41500
52,Civilingenjör,public,41891
53,Civilingenjör,public,42000
54,Civilingenjör,public,42350
55,Civilingenjör,public,42600
56,Civilingenjör,public,43000
57,Civilingenjör,public,43100
58,Civilingenjör,public,43500
59,Civilingenjör,public,43800
60,Civilingenjör,public,44000
61,Civilingenjör,public,44300
62,Civilingenjör,public,44600
63,Civilingenjör,public,45000
64,Civilingenjör,public,45200
65,Civilingenjör,public,45581
66,Civilingenjör,public,46000
67,Civilingenjör,public,46300
68,Civilingenjör,public,46700
69,Civilingenjör,public,47000
70,Civilingenjör,public,47400
71,Civilingenjör,public,47800
72,Civilingenjör,public,48000
73,Civilingenjör,public,48500
74,Civilingenjör,public,48900
75,Civilingenjör,public,49290
76,Civilingenjör,public,49800
77,Civilingenjör,public,50100
78,Civilingenjör,public,50500
79,Civilingenjör,public,51000
80,Civilingenjör,public,51500
81,Civilingenjör,public,52000
82,Civilingenjör,public,52560
83,Civilingenjör,public,53000
84,Civilingenjör,public,53800
85,Civilingenjör,public,54500
86,Civilingenjör,public,55200
87,Civilingenjör,public,56000
88,Civilingenjör,public,56500
89,Civilingenjör,public,57800
90,Civilingenjör,public,59000
91,Civilingenjör,public,60000
92,Civilingenjör,public,61500
93,Civilingenjör,public,62660
94,Civilingenjör,public,64000
95,Civilingenjör,public,66000
96,Civilingenjör,public,68000
97,Civilingenjör,public,70800
