Utbildning,Arbsektor,Tot_antal,Percentile,Andel,Lon
Arbetsterapeut,Privat,537,Pct_3,3,24000
Arbetsterapeut,Privat,537,Pct_4,4,24300
Arbetsterapeut,Privat,537,Pct_5,5,24500
Arbetsterapeut,Privat,537,Pct_6,6,24800
Arbetsterapeut,Privat,537,Pct_7,7,25000
Arbetsterapeut,Privat,537,Pct_8,8,25000
Arbetsterapeut,Privat,537,Pct_9,9,25300
Arbetsterapeut,Privat,537,Pct_10,10,25498
Arbetsterapeut,Privat,537,Pct_11,11,25500
Arbetsterapeut,Privat,537,Pct_12,12,25500
Arbetsterapeut,Privat,537,Pct_13,13,25600
Arbetsterapeut,Privat,537,Pct_14,14,25800
Arbetsterapeut,Privat,537,Pct_15,15,26000
Arbetsterapeut,Privat,537,Pct_16,16,26000
Arbetsterapeut,Privat,537,Pct_17,17,26000
Arbetsterapeut,Privat,537,Pct_18,18,26087
Arbetsterapeut,Privat,537,Pct_19,19,26200
Arbetsterapeut,Privat,537,Pct_20,20,26300
Arbetsterapeut,Privat,537,Pct_21,21,26400
Arbetsterapeut,Privat,537,Pct_22,22,26500
Arbetsterapeut,Privat,537,Pct_23,23,26600
Arbetsterapeut,Privat,537,Pct_24,24,26800
Arbetsterapeut,Privat,537,Pct_25,25,27000
Arbetsterapeut,Privat,537,Pct_26,26,27000
Arbetsterapeut,Privat,537,Pct_27,27,27000
Arbetsterapeut,Privat,537,Pct_28,28,27030
Arbetsterapeut,Privat,537,Pct_29,29,27100
Arbetsterapeut,Privat,537,Pct_30,30,27230
Arbetsterapeut,Privat,537,Pct_31,31,27400
Arbetsterapeut,Privat,537,Pct_32,32,27500
Arbetsterapeut,Privat,537,Pct_33,33,27600
Arbetsterapeut,Privat,537,Pct_34,34,27770
Arbetsterapeut,Privat,537,Pct_35,35,27840
Arbetsterapeut,Privat,537,Pct_36,36,28000
Arbetsterapeut,Privat,537,Pct_37,37,28000
Arbetsterapeut,Privat,537,Pct_38,38,28000
Arbetsterapeut,Privat,537,Pct_39,39,28000
Arbetsterapeut,Privat,537,Pct_40,40,28184
Arbetsterapeut,Privat,537,Pct_41,41,28400
Arbetsterapeut,Privat,537,Pct_42,42,28500
Arbetsterapeut,Privat,537,Pct_43,43,28520
Arbetsterapeut,Privat,537,Pct_44,44,28600
Arbetsterapeut,Privat,537,Pct_45,45,28800
Arbetsterapeut,Privat,537,Pct_46,46,28900
Arbetsterapeut,Privat,537,Pct_47,47,28930
Arbetsterapeut,Privat,537,Pct_48,48,29000
Arbetsterapeut,Privat,537,Pct_49,49,29000
Arbetsterapeut,Privat,537,Pct_50,50,29050
Arbetsterapeut,Privat,537,Pct_51,51,29100
Arbetsterapeut,Privat,537,Pct_52,52,29165
Arbetsterapeut,Privat,537,Pct_53,53,29200
Arbetsterapeut,Privat,537,Pct_54,54,29200
Arbetsterapeut,Privat,537,Pct_55,55,29450
Arbetsterapeut,Privat,537,Pct_56,56,29500
Arbetsterapeut,Privat,537,Pct_57,57,29545
Arbetsterapeut,Privat,537,Pct_58,58,29700
Arbetsterapeut,Privat,537,Pct_59,59,29790
Arbetsterapeut,Privat,537,Pct_60,60,29850
Arbetsterapeut,Privat,537,Pct_61,61,29913
Arbetsterapeut,Privat,537,Pct_62,62,30000
Arbetsterapeut,Privat,537,Pct_63,63,30000
Arbetsterapeut,Privat,537,Pct_64,64,30200
Arbetsterapeut,Privat,537,Pct_65,65,30300
Arbetsterapeut,Privat,537,Pct_66,66,30500
Arbetsterapeut,Privat,537,Pct_67,67,30500
Arbetsterapeut,Privat,537,Pct_68,68,30550
Arbetsterapeut,Privat,537,Pct_69,69,30700
Arbetsterapeut,Privat,537,Pct_70,70,30802
Arbetsterapeut,Privat,537,Pct_71,71,30930
Arbetsterapeut,Privat,537,Pct_72,72,31000
Arbetsterapeut,Privat,537,Pct_73,73,31078
Arbetsterapeut,Privat,537,Pct_74,74,31184
Arbetsterapeut,Privat,537,Pct_75,75,31300
Arbetsterapeut,Privat,537,Pct_76,76,31500
Arbetsterapeut,Privat,537,Pct_77,77,31750
Arbetsterapeut,Privat,537,Pct_78,78,32000
Arbetsterapeut,Privat,537,Pct_79,79,32065
Arbetsterapeut,Privat,537,Pct_80,80,32223
Arbetsterapeut,Privat,537,Pct_81,81,32500
Arbetsterapeut,Privat,537,Pct_82,82,32600
Arbetsterapeut,Privat,537,Pct_83,83,32911
Arbetsterapeut,Privat,537,Pct_84,84,33000
Arbetsterapeut,Privat,537,Pct_85,85,33147
Arbetsterapeut,Privat,537,Pct_86,86,33500
Arbetsterapeut,Privat,537,Pct_87,87,33812
Arbetsterapeut,Privat,537,Pct_88,88,34300
Arbetsterapeut,Privat,537,Pct_89,89,34700
Arbetsterapeut,Privat,537,Pct_90,90,35399
Arbetsterapeut,Privat,537,Pct_91,91,35810
Arbetsterapeut,Privat,537,Pct_92,92,36600
Arbetsterapeut,Privat,537,Pct_93,93,37360
Arbetsterapeut,Privat,537,Pct_94,94,37800
Arbetsterapeut,Privat,537,Pct_95,95,39085
Arbetsterapeut,Privat,537,Pct_96,96,40000
Arbetsterapeut,Privat,537,Pct_97,97,41000
Arbetsterapeut,Offentlig,5390,Pct_3,3,23850
Arbetsterapeut,Offentlig,5390,Pct_4,4,24070
Arbetsterapeut,Offentlig,5390,Pct_5,5,24300
Arbetsterapeut,Offentlig,5390,Pct_6,6,24500
Arbetsterapeut,Offentlig,5390,Pct_7,7,24700
Arbetsterapeut,Offentlig,5390,Pct_8,8,24900
Arbetsterapeut,Offentlig,5390,Pct_9,9,25000
Arbetsterapeut,Offentlig,5390,Pct_10,10,25200
Arbetsterapeut,Offentlig,5390,Pct_11,11,25400
Arbetsterapeut,Offentlig,5390,Pct_12,12,25500
