Utbildning,Arbsektor,Andel,Lön
Arbetsterapeut,Privat,"6,5176908752",< 25000
Arbetsterapeut,Privat,"8,1936685289",25000-25999
Arbetsterapeut,Privat,"9,4972067039",26000-26999
Arbetsterapeut,Privat,"11,5456238361",27000-27999
Arbetsterapeut,Privat,"11,5456238361",28000-28999
Arbetsterapeut,Privat,"14,3389199255",29000-29999
Arbetsterapeut,Privat,"9,6834264432",30000-30999
Arbetsterapeut,Privat,"6,3314711359",31000-31999
Arbetsterapeut,Privat,"5,5865921788",32000-32999
Arbetsterapeut,Privat,"3,9106145251",33000-33999
Arbetsterapeut,Privat,"2,2346368715",34000-34999
Arbetsterapeut,Privat,"1,6759776536",35000-35999
Arbetsterapeut,Privat,"1,6759776536",36000-36999
Arbetsterapeut,Privat,"1,303538175",37000-37999
Arbetsterapeut,Privat,"0,9310986965",38000-38999
Arbetsterapeut,Privat,"0,5586592179",39000-39999
Arbetsterapeut,Privat,"1,303538175",40000-40999
Arbetsterapeut,Privat,"3,165735568",>=41000
Arbetsterapeut,Offentlig,"8,1632653061",< 25000
Arbetsterapeut,Offentlig,"7,1057513915",25000-25999
Arbetsterapeut,Offentlig,"10,2226345083",26000-26999
Arbetsterapeut,Offentlig,"13,3951762523",27000-27999
Arbetsterapeut,Offentlig,"14,9536178108",28000-28999
Arbetsterapeut,Offentlig,"13,1539888683",29000-29999
Arbetsterapeut,Offentlig,"10,241187384",30000-30999
Arbetsterapeut,Offentlig,"6,3450834879",31000-31999
Arbetsterapeut,Offentlig,"4,0630797774",32000-32999
Arbetsterapeut,Offentlig,"2,4118738404",33000-33999
Arbetsterapeut,Offentlig,"1,8738404453",34000-34999
Arbetsterapeut,Offentlig,"1,1131725417",35000-35999
Arbetsterapeut,Offentlig,"1,0760667904",36000-36999
Arbetsterapeut,Offentlig,"0,667903525",37000-37999
Arbetsterapeut,Offentlig,"1,0760667904",38000-38999
Arbetsterapeut,Offentlig,"0,612244898",39000-39999
Arbetsterapeut,Offentlig,"3,5250463822",>=40000
Civilingenjör,Privat,"0,124100273",< 25000
Civilingenjör,Privat,"0,1613303549",25000-25999
Civilingenjör,Privat,"0,2084884587",26000-26999
Civilingenjör,Privat,"0,4740630429",27000-27999
Civilingenjör,Privat,"1,1690245719",28000-28999
Civilingenjör,Privat,"1,628195582",29000-29999
Civilingenjör,Privat,"2,2611069744",30000-30999
Civilingenjör,Privat,"2,1792007942",31000-31999
Civilingenjör,Privat,"2,2933730454",32000-32999
Civilingenjör,Privat,"2,29089104",33000-33999
Civilingenjör,Privat,"2,506825515",34000-34999
Civilingenjör,Privat,"2,8989823778",35000-35999
Civilingenjör,Privat,"2,8344502358",36000-36999
Civilingenjör,Privat,"3,0280466617",37000-37999
Civilingenjör,Privat,"3,104988831",38000-38999
Civilingenjör,Privat,"2,8915363614",39000-39999
Civilingenjör,Privat,"3,6088359394",40000-40999
Civilingenjör,Privat,"3,07272276",41000-41999
Civilingenjör,Privat,"3,4102755026",42000-42999
Civilingenjör,Privat,"3,1943410276",43000-43999
Civilingenjör,Privat,"2,9262844378",44000-44999
Civilingenjör,Privat,"3,261355175",45000-45999
Civilingenjör,Privat,"3,0354926781",46000-46999
Civilingenjör,Privat,"2,7773641102",47000-47999
Civilingenjör,Privat,"2,7624720774",48000-48999
Civilingenjör,Privat,"2,5887316952",49000-49999
Civilingenjör,Privat,"3,0603127327",50000-50999
Civilingenjör,Privat,"2,3876892529",51000-51999
Civilingenjör,Privat,"2,4050632911",52000-52999
Civilingenjör,Privat,"2,194092827",53000-53999
Civilingenjör,Privat,"1,9185902209",54000-54999
Civilingenjör,Privat,"2,0774385704",55000-55999
Civilingenjör,Privat,"1,7969719533",56000-56999
Civilingenjör,Privat,"1,6430876148",57000-57999
Civilingenjör,Privat,"1,5189873418",58000-58999
Civilingenjör,Privat,"1,2782328121",59000-59999
Civilingenjör,Privat,"1,5661454455",60000-60999
Civilingenjör,Privat,"1,067262348",61000-61999
Civilingenjör,Privat,"1,1243484736",62000-62999
Civilingenjör,Privat,"1,0052122115",63000-63999
Civilingenjör,Privat,"0,8761479275",64000-64999
Civilingenjör,Privat,"1,0598163316",65000-65999
Civilingenjör,Privat,"0,7743857036",66000-66999
Civilingenjör,Privat,"0,7470836436",67000-67999
Civilingenjör,Privat,"0,625465376",68000-68999
Civilingenjör,Privat,"0,5956813105",69000-69999
Civilingenjör,Privat,"0,7396376272",70000-70999
Civilingenjör,Privat,"0,4939190866",71000-71999
Civilingenjör,Privat,"0,501365103",72000-72999
Civilingenjör,Privat,"0,436832961",73000-73999
Civilingenjör,Privat,"0,3871928518",74000-74999
Civilingenjör,Privat,"0,5162571358",75000-75999
Civilingenjör,Privat,"0,3276247208",76000-76999
Civilingenjör,Privat,"0,2928766443",77000-77999
Civilingenjör,Privat,"0,3226607099",78000-78999
Civilingenjör,Privat,"0,2879126334",79000-79999
Civilingenjör,Privat,"5,2792256143",>=80000
Civilingenjör,Offentlig,"1,1676646707",< 25000
Civilingenjör,Offentlig,"0,8682634731",25000-25999
Civilingenjör,Offentlig,"2,005988024",26000-26999
Civilingenjör,Offentlig,"2,6497005988",27000-27999
Civilingenjör,Offentlig,"2,125748503",28000-28999
Civilingenjör,Offentlig,"2,3502994012",29000-29999
Civilingenjör,Offentlig,"3,0538922156",30000-30999
Civilingenjör,Offentlig,"3,7874251497",31000-31999
Civilingenjör,Offentlig,"2,8592814371",32000-32999
Civilingenjör,Offentlig,"2,5449101796",33000-33999
Civilingenjör,Offentlig,"3,4281437126",34000-34999
Civilingenjör,Offentlig,"3,1886227545",35000-35999
Civilingenjör,Offentlig,"3,9670658683",36000-36999
Civilingenjör,Offentlig,"3,4431137725",37000-37999
Civilingenjör,Offentlig,"3,6377245509",38000-38999
Civilingenjör,Offentlig,"3,1137724551",39000-39999
Civilingenjör,Offentlig,"4,4910179641",40000-40999
Civilingenjör,Offentlig,"3,622754491",41000-41999
Civilingenjör,Offentlig,"3,622754491",42000-42999
Civilingenjör,Offentlig,"3,6676646707",43000-43999
Civilingenjör,Offentlig,"3,0988023952",44000-44999
Civilingenjör,Offentlig,"3,0538922156",45000-45999
Civilingenjör,Offentlig,"2,7694610778",46000-46999
Civilingenjör,Offentlig,"2,9640718563",47000-47999
Civilingenjör,Offentlig,"2,5898203593",48000-48999
Civilingenjör,Offentlig,"2,2005988024",49000-49999
Civilingenjör,Offentlig,"2,4550898204",50000-50999
Civilingenjör,Offentlig,"1,8413173653",51000-51999
Civilingenjör,Offentlig,"2,0658682635",52000-52999
Civilingenjör,Offentlig,"1,5568862275",53000-53999
Civilingenjör,Offentlig,"1,2125748503",54000-54999
Civilingenjör,Offentlig,"1,5568862275",55000-55999
Civilingenjör,Offentlig,"1,3023952096",56000-56999
Civilingenjör,Offentlig,"0,8383233533",57000-57999
Civilingenjör,Offentlig,"0,8682634731",58000-58999
Civilingenjör,Offentlig,"0,6886227545",59000-59999
Civilingenjör,Offentlig,"0,8682634731",60000-60999
Civilingenjör,Offentlig,"0,8532934132",61000-61999
Civilingenjör,Offentlig,"0,7784431138",62000-62999
Civilingenjör,Offentlig,"0,7784431138",63000-63999
Civilingenjör,Offentlig,"0,4640718563",64000-64999
Civilingenjör,Offentlig,"0,5688622754",65000-65999
Civilingenjör,Offentlig,"0,4191616766",66000-66999
Civilingenjör,Offentlig,"0,4491017964",67000-67999
Civilingenjör,Offentlig,"0,3892215569",68000-68999
Civilingenjör,Offentlig,"0,3143712575",69000-69999
Civilingenjör,Offentlig,"3,4580838323",>=70000
Socionom,Privat,"5,3501180173",< 25000
Socionom,Privat,"3,1471282455",25000-25999
Socionom,Privat,"3,9339103068",26000-26999
Socionom,Privat,"4,9567269866",27000-27999
Socionom,Privat,"5,8221872541",28000-28999
Socionom,Privat,"5,9008654603",29000-29999
Socionom,Privat,"6,7663257278",30000-30999
Socionom,Privat,"6,4516129032",31000-31999
Socionom,Privat,"6,2155782848",32000-32999
Socionom,Privat,"6,6089693155",33000-33999
Socionom,Privat,"2,9897718332",34000-34999
Socionom,Privat,"5,6648308419",35000-35999
Socionom,Privat,"5,2714398112",36000-36999
Socionom,Privat,"4,0912667191",37000-37999
Socionom,Privat,"2,9897718332",38000-38999
Socionom,Privat,"2,6750590087",39000-39999
Socionom,Privat,"2,5177025964",40000-40999
Socionom,Privat,"1,8095987411",41000-41999
Socionom,Privat,"2,1243115657",42000-42999
Socionom,Privat,"1,4162077105",43000-43999
Socionom,Privat,"0,8654602675",44000-44999
Socionom,Privat,"1,4162077105",45000-45999
Socionom,Privat,"0,7081038552",46000-46999
Socionom,Privat,"1,2588512982",47000-47999
Socionom,Privat,"0,550747443",48000-48999
Socionom,Privat,"0,550747443",49000-49999
Socionom,Privat,"0,7867820614",50000-50999
Socionom,Privat,"0,3147128245",51000-51999
Socionom,Privat,"0,3933910307",52000-52999
Socionom,Privat,"0,2360346184",53000-53999
Socionom,Privat,"0,3147128245",54000-54999
Socionom,Privat,"0,550747443",55000-55999
Socionom,Privat,"0,4720692368",56000-56999
Socionom,Privat,"0,1573564123",57000-57999
Socionom,Privat,"0,3933910307",58000-58999
Socionom,Privat,"0,1573564123",59000-59999
Socionom,Privat,"0,550747443",60000-60999
Socionom,Privat,"0,2360346184",61000-61999
Socionom,Privat,"3,3831628639",>=62000
Socionom,Offentlig,"5,6343608844",< 25000
Socionom,Offentlig,"5,5788889769",25000-25999
Socionom,Offentlig,"7,5758776448",26000-26999
Socionom,Offentlig,"8,2653142087",27000-27999
Socionom,Offentlig,"9,2955067755",28000-28999
Socionom,Offentlig,"10,0483398051",29000-29999
Socionom,Offentlig,"10,1038117125",30000-30999
Socionom,Offentlig,"8,0751248118",31000-31999
Socionom,Offentlig,"7,1400269435",32000-32999
Socionom,Offentlig,"5,4600206039",33000-33999
Socionom,Offentlig,"4,2475631984",34000-34999
Socionom,Offentlig,"2,7577462556",35000-35999
Socionom,Offentlig,"2,3773674618",36000-36999
Socionom,Offentlig,"1,7671764799",37000-37999
Socionom,Offentlig,"1,6483081068",38000-38999
Socionom,Offentlig,"1,4184959189",39000-39999
Socionom,Offentlig,"1,4264204771",40000-40999
Socionom,Offentlig,"1,0698153578",41000-41999
Socionom,Offentlig,"0,9430224265",42000-42999
Socionom,Offentlig,"0,5943418654",43000-43999
Socionom,Offentlig,"0,7132102385",44000-44999
Socionom,Offentlig,"0,5150962834",45000-45999
Socionom,Offentlig,"3,3441635629",>=46000
Högskoleingenjör,Privat,"0,8116883117",< 25000
Högskoleingenjör,Privat,"1,1192754614",25000-25999
