profession,publicprivate,value,income
Agronom,private,0.02303262956,-26999
Agronom,private,0.01535508637,27000-27999
Agronom,private,0.02879078695,28000-28999
Agronom,private,0.01535508637,29000-29999
Agronom,private,0.02687140115,30000-30999
Agronom,private,0.03454894434,31000-31999
Agronom,private,0.03454894434,32000-32999
Agronom,private,0.03071017274,33000-33999
Agronom,private,0.05950095969,34000-34999
Agronom,private,0.03454894434,35000-35999
Agronom,private,0.03838771593,36000-36999
Agronom,private,0.03838771593,37000-37999
Agronom,private,0.04222648752,38000-38999
Agronom,private,0.03454894434,39000-39999
Agronom,private,0.03454894434,40000-40999
Agronom,private,0.04030710173,41000-41999
Agronom,private,0.04030710173,42000-42999
Agronom,private,0.04606525912,43000-43999
Agronom,private,0.02879078695,44000-44999
Agronom,private,0.03262955854,45000-45999
Agronom,private,0.02495201536,46000-46999
Agronom,private,0.02303262956,47000-47999
Agronom,private,0.02303262956,48000-48999
Agronom,private,0.01535508637,49000-49999
Agronom,private,0.02303262956,50000-50999
Agronom,private,0.01727447217,51000-51999
Agronom,private,0.01535508637,52000-52999
Agronom,private,0.01919385797,53000-53999
Agronom,private,0.00959692898,54000-54999
Agronom,private,0.01343570058,55000-55999
Agronom,private,0.00383877159,56000-56999
Agronom,private,0.00383877159,57000-57999
Agronom,private,0.01343570058,58000-58999
Agronom,private,0.00575815739,59000-59999
Agronom,private,0.00767754319,60000-60999
Agronom,private,0.00383877159,61000-61999
Agronom,private,0.01151631478,62000-62999
Agronom,private,0.00767754319,63000-63999
Agronom,private,0.0019193858,64000-64999
Agronom,private,0.00383877159,65000-65999
Agronom,private,0.00383877159,66000-66999
Agronom,private,0.0019193858,67000-67999
Agronom,private,0.00383877159,68000-68999
Agronom,private,0.0019193858,69000-69999
Agronom,private,0.00575815739,70000-70999
Agronom,private,0.0019193858,71000-71999
Agronom,private,0.00383877159,72000-72999
Agronom,private,0.0,73000-73999
Agronom,private,0.00383877159,74000-74999
Agronom,private,0.0019193858,75000-75999
Agronom,private,0.00383877159,76000-76999
Agronom,private,0.0,77000-77999
Agronom,private,0.0019193858,78000-78999
Agronom,private,0.0019193858,79000-79999
Agronom,private,0.03646833013,80000-
