profession,publicprivate,value,income
Arbetsterapeut,private,0.03087478559,-24999
Arbetsterapeut,private,0.04974271012,25000-25999
Arbetsterapeut,private,0.07718696398,26000-26999
Arbetsterapeut,private,0.09777015437,27000-27999
Arbetsterapeut,private,0.09433962264,28000-28999
Arbetsterapeut,private,0.1269296741,29000-29999
Arbetsterapeut,private,0.1269296741,30000-30999
Arbetsterapeut,private,0.08576329331,31000-31999
Arbetsterapeut,private,0.08233276158,32000-32999
Arbetsterapeut,private,0.05660377358,33000-33999
Arbetsterapeut,private,0.03087478559,34000-34999
Arbetsterapeut,private,0.03773584906,35000-35999
Arbetsterapeut,private,0.0154373928,36000-36999
Arbetsterapeut,private,0.01715265866,37000-37999
Arbetsterapeut,private,0.0102915952,38000-38999
Arbetsterapeut,private,0.00857632933,39000-39999
Arbetsterapeut,private,0.01200686106,40000-40999
Arbetsterapeut,private,0.00686106346,41000-41999
Arbetsterapeut,private,0.03259005146,42000-
