profession,publicprivate,value,income
Arbetsterapeut,public,0.05194805195,-24999
Arbetsterapeut,public,0.0611990749,25000-25999
Arbetsterapeut,public,0.08023483366,26000-26999
Arbetsterapeut,public,0.1106564668,27000-27999
Arbetsterapeut,public,0.1332503113,28000-28999
Arbetsterapeut,public,0.1410781,29000-29999
Arbetsterapeut,public,0.1168831169,30000-30999
Arbetsterapeut,public,0.08770681373,31000-31999
Arbetsterapeut,public,0.05906422345,32000-32999
Arbetsterapeut,public,0.03433552749,33000-33999
Arbetsterapeut,public,0.02206013165,34000-34999
Arbetsterapeut,public,0.01654509874,35000-35999
Arbetsterapeut,public,0.01352072585,36000-36999
Arbetsterapeut,public,0.00925102295,37000-37999
Arbetsterapeut,public,0.00889521437,38000-38999
Arbetsterapeut,public,0.0085394058,39000-39999
Arbetsterapeut,public,0.00836150151,40000-40999
Arbetsterapeut,public,0.00498132005,41000-41999
Arbetsterapeut,public,0.03148905889,42000-
