profession,publicprivate,value,income
Biolog,public,0.02540302882,-24999
Biolog,public,0.0195407914,25000-25999
Biolog,public,0.03468490474,26000-26999
Biolog,public,0.04054714216,27000-27999
Biolog,public,0.05520273571,28000-28999
Biolog,public,0.05666829507,29000-29999
Biolog,public,0.07816316561,30000-30999
Biolog,public,0.06595017098,31000-31999
Biolog,public,0.07816316561,32000-32999
Biolog,public,0.06057645335,33000-33999
Biolog,public,0.05129457743,34000-34999
Biolog,public,0.04982901808,35000-35999
Biolog,public,0.04152418173,36000-36999
Biolog,public,0.03810454323,37000-37999
Biolog,public,0.04201270151,38000-38999
Biolog,public,0.03615046409,39000-39999
Biolog,public,0.03321934538,40000-40999
Biolog,public,0.02051783097,41000-41999
Biolog,public,0.02491450904,42000-42999
Biolog,public,0.02002931119,43000-43999
Biolog,public,0.01709819248,44000-44999
Biolog,public,0.01172447484,45000-45999
Biolog,public,0.01270151441,46000-46999
Biolog,public,0.00781631656,47000-47999
Biolog,public,0.00683927699,48000-48999
Biolog,public,0.00732779678,49000-49999
Biolog,public,0.0097703957,50000-50999
Biolog,public,0.00293111871,51000-51999
Biolog,public,0.00293111871,52000-52999
Biolog,public,0.00195407914,53000-53999
Biolog,public,0.00586223742,54000-54999
Biolog,public,0.0034196385,55000-55999
Biolog,public,0.0034196385,56000-56999
Biolog,public,0.00244259893,57000-57999
Biolog,public,0.03126526624,58000-
