profession,publicprivate,value,income
Civilekonom/ekonom,public,0.01817219478,-25999
Civilekonom/ekonom,public,0.01534932957,26000-26999
Civilekonom/ekonom,public,0.01993648553,27000-27999
Civilekonom/ekonom,public,0.02275935074,28000-28999
Civilekonom/ekonom,public,0.0266407904,29000-29999
Civilekonom/ekonom,public,0.03052223006,30000-30999
Civilekonom/ekonom,public,0.03563867325,31000-31999
Civilekonom/ekonom,public,0.03740296401,32000-32999
Civilekonom/ekonom,public,0.03616796048,33000-33999
Civilekonom/ekonom,public,0.04004940014,34000-34999
Civilekonom/ekonom,public,0.04375441073,35000-35999
Civilekonom/ekonom,public,0.04534227241,36000-36999
Civilekonom/ekonom,public,0.04375441073,37000-37999
Civilekonom/ekonom,public,0.04922371207,38000-38999
Civilekonom/ekonom,public,0.03475652788,39000-39999
Civilekonom/ekonom,public,0.04534227241,40000-40999
Civilekonom/ekonom,public,0.03510938603,41000-41999
Civilekonom/ekonom,public,0.03581510233,42000-42999
Civilekonom/ekonom,public,0.03105151729,43000-43999
Civilekonom/ekonom,public,0.03175723359,44000-44999
Civilekonom/ekonom,public,0.03158080452,45000-45999
Civilekonom/ekonom,public,0.02681721948,46000-46999
Civilekonom/ekonom,public,0.02046577276,47000-47999
Civilekonom/ekonom,public,0.02364149612,48000-48999
Civilekonom/ekonom,public,0.01852505293,49000-49999
Civilekonom/ekonom,public,0.02099505999,50000-50999
Civilekonom/ekonom,public,0.01552575865,51000-51999
Civilekonom/ekonom,public,0.01676076217,52000-52999
Civilekonom/ekonom,public,0.01111503176,53000-53999
Civilekonom/ekonom,public,0.01111503176,54000-54999
Civilekonom/ekonom,public,0.01340860974,55000-55999
Civilekonom/ekonom,public,0.01111503176,56000-56999
Civilekonom/ekonom,public,0.009350741,57000-57999
Civilekonom/ekonom,public,0.00705716302,58000-58999
Civilekonom/ekonom,public,0.00758645025,59000-59999
Civilekonom/ekonom,public,0.00846859562,60000-60999
Civilekonom/ekonom,public,0.00458715596,61000-61999
Civilekonom/ekonom,public,0.00599858857,62000-62999
Civilekonom/ekonom,public,0.00458715596,63000-63999
Civilekonom/ekonom,public,0.00247000706,64000-64999
Civilekonom/ekonom,public,0.00546930134,65000-65999
Civilekonom/ekonom,public,0.00211714891,66000-66999
Civilekonom/ekonom,public,0.00299929428,67000-67999
Civilekonom/ekonom,public,0.00388143966,68000-68999
Civilekonom/ekonom,public,0.00423429781,69000-69999
Civilekonom/ekonom,public,0.03158080452,70000-
