profession,publicprivate,value,income
Civilingenjör,private,0.02168292683,-29999
Civilingenjör,private,0.01785365854,30000-30999
Civilingenjör,private,0.01819512195,31000-31999
Civilingenjör,private,0.01990243902,32000-32999
Civilingenjör,private,0.02082926829,33000-33999
Civilingenjör,private,0.02063414634,34000-34999
Civilingenjör,private,0.02470731707,35000-35999
Civilingenjör,private,0.02680487805,36000-36999
Civilingenjör,private,0.02546341463,37000-37999
Civilingenjör,private,0.03014634146,38000-38999
Civilingenjör,private,0.0282195122,39000-39999
Civilingenjör,private,0.03197560976,40000-40999
Civilingenjör,private,0.02853658537,41000-41999
Civilingenjör,private,0.03029268293,42000-42999
Civilingenjör,private,0.03163414634,43000-43999
Civilingenjör,private,0.03131707317,44000-44999
Civilingenjör,private,0.03426829268,45000-45999
Civilingenjör,private,0.02907317073,46000-46999
Civilingenjör,private,0.02880487805,47000-47999
Civilingenjör,private,0.03009756098,48000-48999
Civilingenjör,private,0.0266097561,49000-49999
Civilingenjör,private,0.0307804878,50000-50999
Civilingenjör,private,0.02519512195,51000-51999
Civilingenjör,private,0.0252195122,52000-52999
Civilingenjör,private,0.02395121951,53000-53999
Civilingenjör,private,0.02146341463,54000-54999
Civilingenjör,private,0.02346341463,55000-55999
Civilingenjör,private,0.01936585366,56000-56999
Civilingenjör,private,0.01751219512,57000-57999
Civilingenjör,private,0.01563414634,58000-58999
Civilingenjör,private,0.01575609756,59000-59999
Civilingenjör,private,0.01895121951,60000-60999
Civilingenjör,private,0.01231707317,61000-61999
Civilingenjör,private,0.01312195122,62000-62999
Civilingenjör,private,0.01173170732,63000-63999
Civilingenjör,private,0.01107317073,64000-64999
Civilingenjör,private,0.01229268293,65000-65999
Civilingenjör,private,0.00870731707,66000-66999
Civilingenjör,private,0.00856097561,67000-67999
Civilingenjör,private,0.00785365854,68000-68999
Civilingenjör,private,0.00709756098,69000-69999
Civilingenjör,private,0.00851219512,70000-70999
Civilingenjör,private,0.00565853659,71000-71999
Civilingenjör,private,0.00619512195,72000-72999
Civilingenjör,private,0.00541463415,73000-73999
Civilingenjör,private,0.00470731707,74000-74999
Civilingenjör,private,0.00568292683,75000-75999
Civilingenjör,private,0.00407317073,76000-76999
Civilingenjör,private,0.00365853659,77000-77999
Civilingenjör,private,0.00304878049,78000-78999
Civilingenjör,private,0.0027804878,79000-79999
Civilingenjör,private,0.06317073171,80000-
