profession,publicprivate,value,income
Farmaceut,private,0.02816901408,-26999
Farmaceut,private,0.03087757313,27000-27999
Farmaceut,private,0.04821235103,28000-28999
Farmaceut,private,0.06338028169,29000-29999
Farmaceut,private,0.08613217768,30000-30999
Farmaceut,private,0.0698808234,31000-31999
Farmaceut,private,0.08884073673,32000-32999
Farmaceut,private,0.07475622969,33000-33999
Farmaceut,private,0.06554712893,34000-34999
Farmaceut,private,0.05742145179,35000-35999
Farmaceut,private,0.03087757313,36000-36999
Farmaceut,private,0.02871072589,37000-37999
Farmaceut,private,0.03087757313,38000-38999
Farmaceut,private,0.01950162514,39000-39999
Farmaceut,private,0.02654387866,40000-40999
Farmaceut,private,0.02166847237,41000-41999
Farmaceut,private,0.01570964247,42000-42999
Farmaceut,private,0.01408450704,43000-43999
Farmaceut,private,0.01895991333,44000-44999
Farmaceut,private,0.01950162514,45000-45999
Farmaceut,private,0.01354279523,46000-46999
Farmaceut,private,0.00704225352,47000-47999
Farmaceut,private,0.0119176598,48000-48999
Farmaceut,private,0.0059588299,49000-49999
Farmaceut,private,0.00866738895,50000-50999
Farmaceut,private,0.00866738895,51000-51999
Farmaceut,private,0.0059588299,52000-52999
Farmaceut,private,0.00650054171,53000-53999
Farmaceut,private,0.00487540628,54000-54999
Farmaceut,private,0.00541711809,55000-55999
Farmaceut,private,0.00487540628,56000-56999
Farmaceut,private,0.00216684724,57000-57999
Farmaceut,private,0.00162513543,58000-58999
Farmaceut,private,0.00216684724,59000-59999
Farmaceut,private,0.00487540628,60000-60999
Farmaceut,private,0.00108342362,61000-61999
Farmaceut,private,0.00325027086,62000-62999
Farmaceut,private,0.00487540628,63000-63999
Farmaceut,private,0.00216684724,64000-64999
Farmaceut,private,0.00216684724,65000-65999
Farmaceut,private,0.00216684724,66000-66999
Farmaceut,private,0.00379198267,67000-67999
Farmaceut,private,0.0,68000-68999
Farmaceut,private,0.00487540628,69000-69999
Farmaceut,private,0.00270855905,70000-70999
Farmaceut,private,0.00216684724,71000-71999
Farmaceut,private,0.00162513543,72000-72999
Farmaceut,private,0.00270855905,73000-73999
Farmaceut,private,0.00162513543,74000-74999
Farmaceut,private,0.03087757313,75000-
