profession,publicprivate,value,income
Högskoleingenjör,public,0.02080237741,-25999
Högskoleingenjör,public,0.01386825161,26000-26999
Högskoleingenjör,public,0.02377414562,27000-27999
Högskoleingenjör,public,0.03219415552,28000-28999
Högskoleingenjör,public,0.04507181773,29000-29999
Högskoleingenjör,public,0.04655770183,30000-30999
Högskoleingenjör,public,0.06042595344,31000-31999
Högskoleingenjör,public,0.06983655275,32000-32999
Högskoleingenjör,public,0.06488360575,33000-33999
Högskoleingenjör,public,0.06389301634,34000-34999
Högskoleingenjör,public,0.05547300644,35000-35999
Högskoleingenjör,public,0.04606240713,36000-36999
Högskoleingenjör,public,0.05398712234,37000-37999
Högskoleingenjör,public,0.04110946013,38000-38999
Högskoleingenjör,public,0.05596830114,39000-39999
Högskoleingenjör,public,0.03863298663,40000-40999
Högskoleingenjör,public,0.03467062902,41000-41999
Högskoleingenjör,public,0.03268945022,42000-42999
Högskoleingenjör,public,0.02971768202,43000-43999
Högskoleingenjör,public,0.02773650322,44000-44999
Högskoleingenjör,public,0.02674591382,45000-45999
Högskoleingenjör,public,0.01783060921,46000-46999
Högskoleingenjör,public,0.01684001981,47000-47999
Högskoleingenjör,public,0.01337295691,48000-48999
Högskoleingenjör,public,0.00891530461,49000-49999
Högskoleingenjör,public,0.00792471521,50000-50999
Högskoleingenjör,public,0.00792471521,51000-51999
Högskoleingenjör,public,0.0069341258,52000-52999
Högskoleingenjör,public,0.0059435364,53000-53999
Högskoleingenjör,public,0.03021297672,54000-
