profession,publicprivate,value,income
Jurist,private,0.02242314647,-26999
Jurist,private,0.01374321881,27000-27999
Jurist,private,0.01555153707,28000-28999
Jurist,private,0.01808318264,29000-29999
Jurist,private,0.02784810127,30000-30999
Jurist,private,0.02133815552,31000-31999
Jurist,private,0.02386980108,32000-32999
Jurist,private,0.02386980108,33000-33999
Jurist,private,0.02350813743,34000-34999
Jurist,private,0.03037974684,35000-35999
Jurist,private,0.02169981917,36000-36999
Jurist,private,0.0253164557,37000-37999
Jurist,private,0.02929475588,38000-38999
Jurist,private,0.02242314647,39000-39999
Jurist,private,0.02893309222,40000-40999
Jurist,private,0.01446654611,41000-41999
Jurist,private,0.01952983725,42000-42999
Jurist,private,0.01952983725,43000-43999
Jurist,private,0.01880650995,44000-44999
Jurist,private,0.02676311031,45000-45999
Jurist,private,0.01627486438,46000-46999
Jurist,private,0.02314647378,47000-47999
Jurist,private,0.01808318264,48000-48999
Jurist,private,0.01627486438,49000-49999
Jurist,private,0.02495479204,50000-50999
Jurist,private,0.01555153707,51000-51999
Jurist,private,0.01591320072,52000-52999
Jurist,private,0.01591320072,53000-53999
Jurist,private,0.01699819168,54000-54999
Jurist,private,0.02133815552,55000-55999
Jurist,private,0.01410488246,56000-56999
Jurist,private,0.01410488246,57000-57999
Jurist,private,0.01048824593,58000-58999
Jurist,private,0.01084990958,59000-59999
Jurist,private,0.01880650995,60000-60999
Jurist,private,0.01265822785,61000-61999
Jurist,private,0.00976491863,62000-62999
Jurist,private,0.01265822785,63000-63999
Jurist,private,0.00795660036,64000-64999
Jurist,private,0.01663652803,65000-65999
Jurist,private,0.01121157324,66000-66999
Jurist,private,0.00976491863,67000-67999
Jurist,private,0.00795660036,68000-68999
Jurist,private,0.00940325497,69000-69999
Jurist,private,0.01735985533,70000-70999
Jurist,private,0.00867992767,71000-71999
Jurist,private,0.00831826401,72000-72999
Jurist,private,0.00831826401,73000-73999
Jurist,private,0.00433996383,74000-74999
Jurist,private,0.01084990958,75000-75999
Jurist,private,0.0068716094,76000-76999
Jurist,private,0.01157323689,77000-77999
Jurist,private,0.0061482821,78000-78999
Jurist,private,0.00289330922,79000-79999
Jurist,private,0.1164556962,80000-
