profession,publicprivate,value,income
Personalvetare,private,0.02754237288,-25999
Personalvetare,private,0.01765536723,26000-26999
Personalvetare,private,0.01906779661,27000-27999
Personalvetare,private,0.02189265537,28000-28999
Personalvetare,private,0.02048022599,29000-29999
Personalvetare,private,0.03248587571,30000-30999
Personalvetare,private,0.03107344633,31000-31999
Personalvetare,private,0.03248587571,32000-32999
Personalvetare,private,0.03389830508,33000-33999
Personalvetare,private,0.02966101695,34000-34999
Personalvetare,private,0.03813559322,35000-35999
Personalvetare,private,0.02401129944,36000-36999
Personalvetare,private,0.03177966102,37000-37999
Personalvetare,private,0.0395480226,38000-38999
Personalvetare,private,0.02683615819,39000-39999
Personalvetare,private,0.03601694915,40000-40999
Personalvetare,private,0.02048022599,41000-41999
Personalvetare,private,0.03107344633,42000-42999
Personalvetare,private,0.02330508475,43000-43999
Personalvetare,private,0.01906779661,44000-44999
Personalvetare,private,0.0331920904,45000-45999
Personalvetare,private,0.02048022599,46000-46999
Personalvetare,private,0.02754237288,47000-47999
Personalvetare,private,0.03460451977,48000-48999
Personalvetare,private,0.01624293785,49000-49999
Personalvetare,private,0.02683615819,50000-50999
Personalvetare,private,0.0197740113,51000-51999
Personalvetare,private,0.01483050847,52000-52999
Personalvetare,private,0.01271186441,53000-53999
Personalvetare,private,0.00988700565,54000-54999
Personalvetare,private,0.01059322034,55000-55999
Personalvetare,private,0.01129943503,56000-56999
Personalvetare,private,0.01271186441,57000-57999
Personalvetare,private,0.0134180791,58000-58999
Personalvetare,private,0.01200564972,59000-59999
Personalvetare,private,0.00988700565,60000-60999
Personalvetare,private,0.01553672316,61000-61999
Personalvetare,private,0.00494350282,62000-62999
Personalvetare,private,0.00706214689,63000-63999
Personalvetare,private,0.00423728814,64000-64999
Personalvetare,private,0.00988700565,65000-65999
Personalvetare,private,0.00564971751,66000-66999
Personalvetare,private,0.00494350282,67000-67999
Personalvetare,private,0.00353107345,68000-68999
Personalvetare,private,0.0063559322,69000-69999
Personalvetare,private,0.0063559322,70000-70999
Personalvetare,private,0.00353107345,71000-71999
Personalvetare,private,0.00211864407,72000-72999
Personalvetare,private,0.00494350282,73000-73999
Personalvetare,private,0.00423728814,74000-74999
Personalvetare,private,0.0063559322,75000-75999
Personalvetare,private,0.00211864407,76000-76999
Personalvetare,private,0.00423728814,77000-77999
Personalvetare,private,0.00282485876,78000-78999
Personalvetare,private,0.00353107345,79000-79999
Personalvetare,private,0.05508474576,80000-
