profession,publicprivate,value,income
Personalvetare,public,0.02337891487,-25999
Personalvetare,public,0.02734891928,26000-26999
Personalvetare,public,0.04631671813,27000-27999
Personalvetare,public,0.04587560653,28000-28999
Personalvetare,public,0.04278782532,29000-29999
Personalvetare,public,0.04631671813,30000-30999
Personalvetare,public,0.04631671813,31000-31999
Personalvetare,public,0.05161005734,32000-32999
Personalvetare,public,0.05381561535,33000-33999
Personalvetare,public,0.04499338333,34000-34999
Personalvetare,public,0.05734450816,35000-35999
Personalvetare,public,0.04146449052,36000-36999
Personalvetare,public,0.05513895015,37000-37999
Personalvetare,public,0.0370533745,38000-38999
Personalvetare,public,0.0366122629,39000-39999
Personalvetare,public,0.0352889281,40000-40999
Personalvetare,public,0.02911336568,41000-41999
Personalvetare,public,0.03043670049,42000-42999
Personalvetare,public,0.03087781209,43000-43999
Personalvetare,public,0.02382002647,44000-44999
Personalvetare,public,0.02205558006,45000-45999
Personalvetare,public,0.02029113366,46000-46999
Personalvetare,public,0.01455668284,47000-47999
Personalvetare,public,0.01455668284,48000-48999
Personalvetare,public,0.00970445523,49000-49999
Personalvetare,public,0.01543890604,50000-50999
Personalvetare,public,0.00838112042,51000-51999
Personalvetare,public,0.00926334363,52000-52999
Personalvetare,public,0.00794000882,53000-53999
Personalvetare,public,0.00794000882,54000-54999
Personalvetare,public,0.00617556242,55000-55999
Personalvetare,public,0.00264666961,56000-56999
Personalvetare,public,0.00397000441,57000-57999
Personalvetare,public,0.00485222761,58000-58999
Personalvetare,public,0.00308778121,59000-59999
Personalvetare,public,0.00441111601,60000-60999
Personalvetare,public,0.00264666961,61000-61999
Personalvetare,public,0.00441111601,62000-62999
Personalvetare,public,0.03176003529,63000-
