profession,publicprivate,value,income
Psykolog,private,0.0261707989,-28999
Psykolog,private,0.00964187328,29000-29999
Psykolog,private,0.01101928375,30000-30999
Psykolog,private,0.00964187328,31000-31999
Psykolog,private,0.02479338843,32000-32999
Psykolog,private,0.01377410468,33000-33999
Psykolog,private,0.02892561983,34000-34999
Psykolog,private,0.06198347107,35000-35999
Psykolog,private,0.0867768595,36000-36999
Psykolog,private,0.08953168044,37000-37999
Psykolog,private,0.09228650138,38000-38999
Psykolog,private,0.09366391185,39000-39999
Psykolog,private,0.1005509642,40000-40999
Psykolog,private,0.06060606061,41000-41999
Psykolog,private,0.05096418733,42000-42999
Psykolog,private,0.05096418733,43000-43999
Psykolog,private,0.0261707989,44000-44999
Psykolog,private,0.02479338843,45000-45999
Psykolog,private,0.02066115702,46000-46999
Psykolog,private,0.01652892562,47000-47999
Psykolog,private,0.01239669421,48000-48999
Psykolog,private,0.00964187328,49000-49999
Psykolog,private,0.01515151515,50000-50999
Psykolog,private,0.01101928375,51000-51999
Psykolog,private,0.00688705234,52000-52999
Psykolog,private,0.00137741047,53000-53999
Psykolog,private,0.0041322314,54000-54999
Psykolog,private,0.00550964187,55000-55999
Psykolog,private,0.0,56000-56999
Psykolog,private,0.0,57000-57999
Psykolog,private,0.00137741047,58000-58999
Psykolog,private,0.0,59000-59999
Psykolog,private,0.00275482094,60000-60999
Psykolog,private,0.0303030303,61000-
