profession,publicprivate,value,income
Psykolog,public,0.0113150616,-25999
Psykolog,public,0.01961277345,26000-26999
Psykolog,public,0.01986421926,27000-27999
Psykolog,public,0.00955494091,28000-28999
Psykolog,public,0.01659542369,29000-29999
Psykolog,public,0.02564747297,30000-30999
Psykolog,public,0.01433241137,31000-31999
Psykolog,public,0.0374654262,32000-32999
Psykolog,public,0.05204928338,33000-33999
Psykolog,public,0.06487301986,34000-34999
Psykolog,public,0.08448579331,35000-35999
Psykolog,public,0.08574302238,36000-36999
Psykolog,public,0.08222278099,37000-37999
Psykolog,public,0.07593663566,38000-38999
Psykolog,public,0.0711591652,39000-39999
Psykolog,public,0.07618808147,40000-40999
Psykolog,public,0.05531807895,41000-41999
Psykolog,public,0.04526024642,42000-42999
Psykolog,public,0.03771687201,43000-43999
Psykolog,public,0.02564747297,44000-44999
Psykolog,public,0.02087000251,45000-45999
Psykolog,public,0.01332662811,46000-46999
Psykolog,public,0.00955494091,47000-47999
Psykolog,public,0.00955494091,48000-48999
Psykolog,public,0.03570530551,49000-
