profession,publicprivate,value,income
Samhällsvetare,public,0.02424449377,-25999
Samhällsvetare,public,0.02782994707,26000-26999
Samhällsvetare,public,0.03875704285,27000-27999
Samhällsvetare,public,0.0426839679,28000-28999
Samhällsvetare,public,0.04541574185,29000-29999
Samhällsvetare,public,0.04575721359,30000-30999
Samhällsvetare,public,0.04353764726,31000-31999
Samhällsvetare,public,0.04541574185,32000-32999
Samhällsvetare,public,0.0414888168,33000-33999
Samhällsvetare,public,0.04234249616,34000-34999
Samhällsvetare,public,0.04592794946,35000-35999
Samhällsvetare,public,0.04729383644,36000-36999
Samhällsvetare,public,0.04370838313,37000-37999
Samhällsvetare,public,0.0402936657,38000-38999
Samhällsvetare,public,0.03585453304,39000-39999
Samhällsvetare,public,0.04234249616,40000-40999
Samhällsvetare,public,0.03841557111,41000-41999
Samhällsvetare,public,0.03295202322,42000-42999
Samhällsvetare,public,0.02629332423,43000-43999
Samhällsvetare,public,0.02902509817,44000-44999
Samhällsvetare,public,0.02441522964,45000-45999
Samhällsvetare,public,0.01929315349,46000-46999
Samhällsvetare,public,0.01826873826,47000-47999
Samhällsvetare,public,0.01587843606,48000-48999
Samhällsvetare,public,0.01212224688,49000-49999
Samhällsvetare,public,0.01417107734,50000-50999
Samhällsvetare,public,0.01178077514,51000-51999
Samhällsvetare,public,0.01109783165,52000-52999
Samhällsvetare,public,0.00836605771,53000-53999
Samhällsvetare,public,0.00700017074,54000-54999
Samhällsvetare,public,0.00870752945,55000-55999
Samhällsvetare,public,0.00563428376,56000-56999
Samhällsvetare,public,0.00751237835,57000-57999
Samhällsvetare,public,0.00495134028,58000-58999
Samhällsvetare,public,0.00597575551,59000-59999
Samhällsvetare,public,0.00631722725,60000-60999
Samhällsvetare,public,0.0035854533,61000-61999
Samhällsvetare,public,0.00460986853,62000-62999
Samhällsvetare,public,0.03073245689,63000-
