profession,publicprivate,value,income
Socionom,private,0.02654176425,-25999
Socionom,private,0.01483216237,26000-26999
Socionom,private,0.02419984387,27000-27999
Socionom,private,0.03278688525,28000-28999
Socionom,private,0.03356752537,29000-29999
Socionom,private,0.05230288837,30000-30999
Socionom,private,0.05932864949,31000-31999
Socionom,private,0.04839968774,32000-32999
Socionom,private,0.06713505074,33000-33999
Socionom,private,0.05932864949,34000-34999
Socionom,private,0.06713505074,35000-35999
Socionom,private,0.06479313037,36000-36999
Socionom,private,0.04918032787,37000-37999
Socionom,private,0.05230288837,38000-38999
Socionom,private,0.03825136612,39000-39999
Socionom,private,0.04371584699,40000-40999
Socionom,private,0.03590944575,41000-41999
Socionom,private,0.03278688525,42000-42999
Socionom,private,0.02732240437,43000-43999
Socionom,private,0.018735363,44000-44999
Socionom,private,0.02732240437,45000-45999
Socionom,private,0.01327088212,46000-46999
Socionom,private,0.01014832162,47000-47999
Socionom,private,0.00702576112,48000-48999
Socionom,private,0.00780640125,49000-49999
Socionom,private,0.01170960187,50000-50999
Socionom,private,0.00468384075,51000-51999
Socionom,private,0.00468384075,52000-52999
Socionom,private,0.00780640125,53000-53999
Socionom,private,0.00234192037,54000-54999
Socionom,private,0.0093676815,55000-55999
Socionom,private,0.00468384075,56000-56999
Socionom,private,0.00078064012,57000-57999
Socionom,private,0.00156128025,58000-58999
Socionom,private,0.0,59000-59999
Socionom,private,0.00468384075,60000-60999
Socionom,private,0.0031225605,61000-61999
Socionom,private,0.03044496487,62000-
