profession,publicprivate,value,income
Tandhygienist,private,0.05967741935,-24999
Tandhygienist,private,0.03387096774,25000-25999
Tandhygienist,private,0.0435483871,26000-26999
Tandhygienist,private,0.0435483871,27000-27999
Tandhygienist,private,0.05967741935,28000-28999
Tandhygienist,private,0.07096774194,29000-29999
Tandhygienist,private,0.1161290323,30000-30999
Tandhygienist,private,0.09838709677,31000-31999
Tandhygienist,private,0.1435483871,32000-32999
Tandhygienist,private,0.07741935484,33000-33999
Tandhygienist,private,0.06290322581,34000-34999
Tandhygienist,private,0.06290322581,35000-35999
Tandhygienist,private,0.03387096774,36000-36999
Tandhygienist,private,0.02741935484,37000-37999
Tandhygienist,private,0.02258064516,38000-38999
Tandhygienist,private,0.00967741935,39000-39999
Tandhygienist,private,0.03387096774,40000-
