profession,publicprivate,value,income
Tandhygienist,public,0.117147708,-24999
Tandhygienist,public,0.07979626486,25000-25999
Tandhygienist,public,0.06536502547,26000-26999
Tandhygienist,public,0.1010186757,27000-27999
Tandhygienist,public,0.09847198642,28000-28999
Tandhygienist,public,0.08743633277,29000-29999
Tandhygienist,public,0.09083191851,30000-30999
Tandhygienist,public,0.1027164686,31000-31999
Tandhygienist,public,0.07300509338,32000-32999
Tandhygienist,public,0.05857385399,33000-33999
Tandhygienist,public,0.02886247878,34000-34999
Tandhygienist,public,0.01782682513,35000-35999
Tandhygienist,public,0.01188455008,36000-36999
Tandhygienist,public,0.00764006791,37000-37999
Tandhygienist,public,0.01188455008,38000-38999
Tandhygienist,public,0.00679117148,39000-39999
Tandhygienist,public,0.00424448217,40000-40999
Tandhygienist,public,0.00509337861,41000-41999
Tandhygienist,public,0.03140916808,42000-
