percentile,profession,publicprivate,income
3,Agronom,private,26300
4,Agronom,private,27500
5,Agronom,private,27600
6,Agronom,private,28057
7,Agronom,private,28500
8,Agronom,private,29000
9,Agronom,private,29645
10,Agronom,private,30000
12,Agronom,private,30195
13,Agronom,private,30757
14,Agronom,private,31000
15,Agronom,private,31058
16,Agronom,private,31700
17,Agronom,private,32000
18,Agronom,private,32100
19,Agronom,private,32360
20,Agronom,private,32900
21,Agronom,private,33000
22,Agronom,private,33475
23,Agronom,private,33669
24,Agronom,private,33938
25,Agronom,private,34050
26,Agronom,private,34500
27,Agronom,private,34700
28,Agronom,private,35000
30,Agronom,private,35092
31,Agronom,private,35300
32,Agronom,private,35650
33,Agronom,private,36000
35,Agronom,private,36300
36,Agronom,private,36560
37,Agronom,private,36900
38,Agronom,private,37000
39,Agronom,private,37325
40,Agronom,private,37600
41,Agronom,private,37800
42,Agronom,private,38000
43,Agronom,private,38070
44,Agronom,private,38300
45,Agronom,private,38500
46,Agronom,private,38781
47,Agronom,private,39000
48,Agronom,private,39100
49,Agronom,private,39424
50,Agronom,private,39555
51,Agronom,private,39720
52,Agronom,private,40000
54,Agronom,private,40027
55,Agronom,private,40500
56,Agronom,private,40757
57,Agronom,private,41000
58,Agronom,private,41225
59,Agronom,private,41600
60,Agronom,private,42000
62,Agronom,private,42500
63,Agronom,private,42821
64,Agronom,private,43000
65,Agronom,private,43400
66,Agronom,private,43680
67,Agronom,private,44000
68,Agronom,private,44500
69,Agronom,private,45000
70,Agronom,private,45350
71,Agronom,private,46000
72,Agronom,private,46557
73,Agronom,private,47205
74,Agronom,private,47656
75,Agronom,private,48058
76,Agronom,private,48554
77,Agronom,private,49145
78,Agronom,private,50000
79,Agronom,private,50500
80,Agronom,private,51000
81,Agronom,private,51500
82,Agronom,private,51700
83,Agronom,private,52500
84,Agronom,private,53000
85,Agronom,private,54000
86,Agronom,private,55000
87,Agronom,private,56000
88,Agronom,private,57300
89,Agronom,private,58200
90,Agronom,private,59940
91,Agronom,private,61000
92,Agronom,private,63000
93,Agronom,private,65300
94,Agronom,private,69000
95,Agronom,private,71757
96,Agronom,private,79500
97,Agronom,private,85000
