percentile,profession,publicprivate,income
3,Agronom,public,26000
4,Agronom,public,26500
5,Agronom,public,27000
6,Agronom,public,27500
8,Agronom,public,27650
9,Agronom,public,27850
10,Agronom,public,28000
11,Agronom,public,28100
12,Agronom,public,28500
13,Agronom,public,28700
14,Agronom,public,29000
16,Agronom,public,29300
17,Agronom,public,29600
18,Agronom,public,29850
19,Agronom,public,30000
20,Agronom,public,30190
21,Agronom,public,30400
22,Agronom,public,30500
23,Agronom,public,30700
24,Agronom,public,30900
25,Agronom,public,31000
26,Agronom,public,31100
27,Agronom,public,31300
28,Agronom,public,31600
29,Agronom,public,31700
30,Agronom,public,31800
31,Agronom,public,31900
32,Agronom,public,32000
33,Agronom,public,32050
34,Agronom,public,32200
35,Agronom,public,32300
36,Agronom,public,32500
37,Agronom,public,32700
38,Agronom,public,32800
39,Agronom,public,33000
40,Agronom,public,33100
41,Agronom,public,33300
42,Agronom,public,33400
43,Agronom,public,33500
44,Agronom,public,33800
45,Agronom,public,33850
46,Agronom,public,34000
47,Agronom,public,34150
48,Agronom,public,34400
49,Agronom,public,34500
50,Agronom,public,34750
51,Agronom,public,35000
52,Agronom,public,35200
53,Agronom,public,35500
54,Agronom,public,35800
55,Agronom,public,36000
56,Agronom,public,36100
57,Agronom,public,36500
58,Agronom,public,36700
59,Agronom,public,36900
60,Agronom,public,37300
61,Agronom,public,37600
62,Agronom,public,37900
63,Agronom,public,38000
64,Agronom,public,38200
65,Agronom,public,38400
66,Agronom,public,38800
67,Agronom,public,39000
68,Agronom,public,39200
69,Agronom,public,39500
70,Agronom,public,39773
71,Agronom,public,40250
72,Agronom,public,40750
73,Agronom,public,41000
74,Agronom,public,41200
75,Agronom,public,41400
76,Agronom,public,41900
77,Agronom,public,42000
78,Agronom,public,42100
79,Agronom,public,42500
80,Agronom,public,43150
81,Agronom,public,43500
82,Agronom,public,44000
83,Agronom,public,44500
84,Agronom,public,44700
85,Agronom,public,45200
86,Agronom,public,46000
87,Agronom,public,46600
88,Agronom,public,47400
89,Agronom,public,47900
90,Agronom,public,48500
91,Agronom,public,49000
92,Agronom,public,50200
93,Agronom,public,51300
94,Agronom,public,52500
95,Agronom,public,53350
96,Agronom,public,55000
97,Agronom,public,56200
