percentile,profession,publicprivate,income
3,Arbetsterapeut,private,24960
4,Arbetsterapeut,private,25000
5,Arbetsterapeut,private,25100
6,Arbetsterapeut,private,25350
7,Arbetsterapeut,private,25700
8,Arbetsterapeut,private,25800
9,Arbetsterapeut,private,26000
10,Arbetsterapeut,private,26100
11,Arbetsterapeut,private,26400
12,Arbetsterapeut,private,26500
13,Arbetsterapeut,private,26600
14,Arbetsterapeut,private,26750
15,Arbetsterapeut,private,26900
16,Arbetsterapeut,private,27000
19,Arbetsterapeut,private,27025
20,Arbetsterapeut,private,27200
21,Arbetsterapeut,private,27250
22,Arbetsterapeut,private,27500
24,Arbetsterapeut,private,27600
25,Arbetsterapeut,private,27770
26,Arbetsterapeut,private,28000
29,Arbetsterapeut,private,28200
30,Arbetsterapeut,private,28400
31,Arbetsterapeut,private,28500
32,Arbetsterapeut,private,28528
33,Arbetsterapeut,private,28650
34,Arbetsterapeut,private,28800
35,Arbetsterapeut,private,29000
38,Arbetsterapeut,private,29100
39,Arbetsterapeut,private,29300
40,Arbetsterapeut,private,29436
41,Arbetsterapeut,private,29500
44,Arbetsterapeut,private,29600
45,Arbetsterapeut,private,29750
46,Arbetsterapeut,private,29800
47,Arbetsterapeut,private,29900
48,Arbetsterapeut,private,30000
51,Arbetsterapeut,private,30100
52,Arbetsterapeut,private,30214
53,Arbetsterapeut,private,30350
54,Arbetsterapeut,private,30450
55,Arbetsterapeut,private,30500
56,Arbetsterapeut,private,30560
57,Arbetsterapeut,private,30689
58,Arbetsterapeut,private,30763
59,Arbetsterapeut,private,30845
60,Arbetsterapeut,private,30900
61,Arbetsterapeut,private,31000
63,Arbetsterapeut,private,31150
64,Arbetsterapeut,private,31300
65,Arbetsterapeut,private,31445
66,Arbetsterapeut,private,31500
67,Arbetsterapeut,private,31650
68,Arbetsterapeut,private,31800
69,Arbetsterapeut,private,32000
72,Arbetsterapeut,private,32200
73,Arbetsterapeut,private,32300
74,Arbetsterapeut,private,32500
75,Arbetsterapeut,private,32700
76,Arbetsterapeut,private,32800
77,Arbetsterapeut,private,32970
78,Arbetsterapeut,private,33000
79,Arbetsterapeut,private,33100
80,Arbetsterapeut,private,33300
81,Arbetsterapeut,private,33500
82,Arbetsterapeut,private,33700
83,Arbetsterapeut,private,34000
84,Arbetsterapeut,private,34050
85,Arbetsterapeut,private,34500
86,Arbetsterapeut,private,35000
88,Arbetsterapeut,private,35442
89,Arbetsterapeut,private,35600
90,Arbetsterapeut,private,36000
91,Arbetsterapeut,private,36500
92,Arbetsterapeut,private,37240
93,Arbetsterapeut,private,38000
94,Arbetsterapeut,private,39500
95,Arbetsterapeut,private,40000
96,Arbetsterapeut,private,40500
97,Arbetsterapeut,private,42500
