percentile,profession,publicprivate,income
3,Biolog/biokemist,private,25680
4,Biolog/biokemist,private,26200
5,Biolog/biokemist,private,27000
6,Biolog/biokemist,private,27515
7,Biolog/biokemist,private,28200
8,Biolog/biokemist,private,28774
9,Biolog/biokemist,private,29000
10,Biolog/biokemist,private,29312
11,Biolog/biokemist,private,30000
13,Biolog/biokemist,private,30210
14,Biolog/biokemist,private,30600
15,Biolog/biokemist,private,31000
16,Biolog/biokemist,private,31200
17,Biolog/biokemist,private,31574
18,Biolog/biokemist,private,32000
20,Biolog/biokemist,private,32465
21,Biolog/biokemist,private,32800
22,Biolog/biokemist,private,33000
23,Biolog/biokemist,private,33100
24,Biolog/biokemist,private,33500
25,Biolog/biokemist,private,33800
26,Biolog/biokemist,private,34000
27,Biolog/biokemist,private,34400
28,Biolog/biokemist,private,34600
29,Biolog/biokemist,private,34983
30,Biolog/biokemist,private,35000
31,Biolog/biokemist,private,35370
32,Biolog/biokemist,private,35600
33,Biolog/biokemist,private,36000
35,Biolog/biokemist,private,36500
36,Biolog/biokemist,private,36800
37,Biolog/biokemist,private,37000
38,Biolog/biokemist,private,37200
39,Biolog/biokemist,private,37500
40,Biolog/biokemist,private,37875
41,Biolog/biokemist,private,38000
42,Biolog/biokemist,private,38286
43,Biolog/biokemist,private,38500
44,Biolog/biokemist,private,38934
45,Biolog/biokemist,private,39125
46,Biolog/biokemist,private,39500
47,Biolog/biokemist,private,39800
48,Biolog/biokemist,private,40000
49,Biolog/biokemist,private,40056
50,Biolog/biokemist,private,40500
51,Biolog/biokemist,private,40774
52,Biolog/biokemist,private,41000
53,Biolog/biokemist,private,41250
54,Biolog/biokemist,private,41500
55,Biolog/biokemist,private,42000
56,Biolog/biokemist,private,42100
57,Biolog/biokemist,private,42500
58,Biolog/biokemist,private,42765
59,Biolog/biokemist,private,43000
60,Biolog/biokemist,private,43391
61,Biolog/biokemist,private,43612
62,Biolog/biokemist,private,44000
63,Biolog/biokemist,private,44300
64,Biolog/biokemist,private,44800
65,Biolog/biokemist,private,45000
66,Biolog/biokemist,private,45100
67,Biolog/biokemist,private,45595
68,Biolog/biokemist,private,46000
69,Biolog/biokemist,private,46228
70,Biolog/biokemist,private,47000
71,Biolog/biokemist,private,47250
72,Biolog/biokemist,private,47975
73,Biolog/biokemist,private,48240
74,Biolog/biokemist,private,48580
75,Biolog/biokemist,private,49200
76,Biolog/biokemist,private,49900
77,Biolog/biokemist,private,50000
78,Biolog/biokemist,private,50600
79,Biolog/biokemist,private,51167
80,Biolog/biokemist,private,51828
81,Biolog/biokemist,private,52338
82,Biolog/biokemist,private,53000
83,Biolog/biokemist,private,53800
84,Biolog/biokemist,private,54575
85,Biolog/biokemist,private,55000
86,Biolog/biokemist,private,56000
87,Biolog/biokemist,private,56720
88,Biolog/biokemist,private,58100
89,Biolog/biokemist,private,59467
90,Biolog/biokemist,private,60000
91,Biolog/biokemist,private,61427
92,Biolog/biokemist,private,63500
93,Biolog/biokemist,private,64900
94,Biolog/biokemist,private,66500
95,Biolog/biokemist,private,68700
96,Biolog/biokemist,private,72200
97,Biolog/biokemist,private,76000
