percentile,profession,publicprivate,income
3,Farmaceut,private,27800
4,Farmaceut,private,28000
5,Farmaceut,private,28300
6,Farmaceut,private,28500
7,Farmaceut,private,28800
8,Farmaceut,private,29000
9,Farmaceut,private,29200
10,Farmaceut,private,29500
11,Farmaceut,private,29600
12,Farmaceut,private,29800
13,Farmaceut,private,30000
15,Farmaceut,private,30150
16,Farmaceut,private,30350
17,Farmaceut,private,30500
18,Farmaceut,private,30606
19,Farmaceut,private,30750
20,Farmaceut,private,31000
22,Farmaceut,private,31150
23,Farmaceut,private,31340
24,Farmaceut,private,31500
25,Farmaceut,private,31600
26,Farmaceut,private,31800
27,Farmaceut,private,32000
30,Farmaceut,private,32147
31,Farmaceut,private,32250
32,Farmaceut,private,32496
33,Farmaceut,private,32518
34,Farmaceut,private,32650
35,Farmaceut,private,32853
36,Farmaceut,private,33000
38,Farmaceut,private,33042
39,Farmaceut,private,33181
40,Farmaceut,private,33300
41,Farmaceut,private,33500
42,Farmaceut,private,33564
43,Farmaceut,private,33700
44,Farmaceut,private,33900
45,Farmaceut,private,34000
47,Farmaceut,private,34133
48,Farmaceut,private,34300
49,Farmaceut,private,34500
50,Farmaceut,private,34690
51,Farmaceut,private,34800
52,Farmaceut,private,35000
54,Farmaceut,private,35200
55,Farmaceut,private,35469
56,Farmaceut,private,35680
57,Farmaceut,private,35900
58,Farmaceut,private,36000
59,Farmaceut,private,36160
60,Farmaceut,private,36400
61,Farmaceut,private,36600
62,Farmaceut,private,36900
63,Farmaceut,private,37100
64,Farmaceut,private,37400
65,Farmaceut,private,37800
66,Farmaceut,private,38000
67,Farmaceut,private,38400
68,Farmaceut,private,38741
69,Farmaceut,private,39000
70,Farmaceut,private,39417
71,Farmaceut,private,39733
72,Farmaceut,private,40000
73,Farmaceut,private,40147
74,Farmaceut,private,41000
75,Farmaceut,private,41500
76,Farmaceut,private,42000
77,Farmaceut,private,42328
78,Farmaceut,private,43000
79,Farmaceut,private,43450
80,Farmaceut,private,44266
81,Farmaceut,private,45000
82,Farmaceut,private,45672
83,Farmaceut,private,46347
84,Farmaceut,private,47429
85,Farmaceut,private,48420
86,Farmaceut,private,50000
87,Farmaceut,private,51474
88,Farmaceut,private,52528
89,Farmaceut,private,54000
90,Farmaceut,private,55500
91,Farmaceut,private,57506
92,Farmaceut,private,59184
93,Farmaceut,private,61950
94,Farmaceut,private,64659
95,Farmaceut,private,68000
96,Farmaceut,private,71287
97,Farmaceut,private,77858
