percentile,profession,publicprivate,income
3,Farmaceut,public,28000
4,Farmaceut,public,29700
5,Farmaceut,public,30000
6,Farmaceut,public,30300
7,Farmaceut,public,30550
8,Farmaceut,public,31000
9,Farmaceut,public,31300
10,Farmaceut,public,31500
11,Farmaceut,public,32000
12,Farmaceut,public,32100
13,Farmaceut,public,32500
14,Farmaceut,public,33000
15,Farmaceut,public,33300
16,Farmaceut,public,33474
17,Farmaceut,public,33500
18,Farmaceut,public,34000
20,Farmaceut,public,34300
21,Farmaceut,public,34500
23,Farmaceut,public,34600
24,Farmaceut,public,35000
26,Farmaceut,public,35270
27,Farmaceut,public,35400
28,Farmaceut,public,35500
29,Farmaceut,public,35630
30,Farmaceut,public,35890
31,Farmaceut,public,36015
32,Farmaceut,public,36100
33,Farmaceut,public,36500
34,Farmaceut,public,36760
35,Farmaceut,public,36900
36,Farmaceut,public,37000
37,Farmaceut,public,37100
38,Farmaceut,public,37480
39,Farmaceut,public,37600
40,Farmaceut,public,37892
41,Farmaceut,public,38000
43,Farmaceut,public,38100
44,Farmaceut,public,38500
45,Farmaceut,public,38700
46,Farmaceut,public,38800
47,Farmaceut,public,39000
49,Farmaceut,public,39150
50,Farmaceut,public,39400
51,Farmaceut,public,39500
52,Farmaceut,public,39590
53,Farmaceut,public,39700
54,Farmaceut,public,40000
55,Farmaceut,public,40100
56,Farmaceut,public,40250
57,Farmaceut,public,40600
58,Farmaceut,public,40900
59,Farmaceut,public,41000
60,Farmaceut,public,41500
61,Farmaceut,public,41850
62,Farmaceut,public,42000
64,Farmaceut,public,42100
65,Farmaceut,public,42500
66,Farmaceut,public,42600
67,Farmaceut,public,43000
68,Farmaceut,public,43200
69,Farmaceut,public,43400
70,Farmaceut,public,43650
71,Farmaceut,public,44000
72,Farmaceut,public,44374
73,Farmaceut,public,44600
74,Farmaceut,public,45000
75,Farmaceut,public,45200
76,Farmaceut,public,45500
77,Farmaceut,public,45850
78,Farmaceut,public,46050
79,Farmaceut,public,46250
80,Farmaceut,public,46500
81,Farmaceut,public,46974
82,Farmaceut,public,47450
83,Farmaceut,public,47900
84,Farmaceut,public,48800
85,Farmaceut,public,49100
86,Farmaceut,public,49500
87,Farmaceut,public,50000
88,Farmaceut,public,50300
89,Farmaceut,public,51100
90,Farmaceut,public,51900
91,Farmaceut,public,52100
92,Farmaceut,public,53474
93,Farmaceut,public,55000
94,Farmaceut,public,57000
95,Farmaceut,public,58600
96,Farmaceut,public,60100
97,Farmaceut,public,63000
