percentile,profession,publicprivate,income
3,Fysioterapeut,public,24500
4,Fysioterapeut,public,24600
5,Fysioterapeut,public,24800
6,Fysioterapeut,public,25000
8,Fysioterapeut,public,25200
9,Fysioterapeut,public,25300
10,Fysioterapeut,public,25500
12,Fysioterapeut,public,25700
13,Fysioterapeut,public,25800
14,Fysioterapeut,public,26000
16,Fysioterapeut,public,26185
17,Fysioterapeut,public,26335
18,Fysioterapeut,public,26500
20,Fysioterapeut,public,26600
21,Fysioterapeut,public,26800
22,Fysioterapeut,public,27000
23,Fysioterapeut,public,27050
24,Fysioterapeut,public,27200
25,Fysioterapeut,public,27350
26,Fysioterapeut,public,27500
27,Fysioterapeut,public,27600
28,Fysioterapeut,public,27750
29,Fysioterapeut,public,27900
30,Fysioterapeut,public,28000
32,Fysioterapeut,public,28164
33,Fysioterapeut,public,28300
34,Fysioterapeut,public,28400
35,Fysioterapeut,public,28500
36,Fysioterapeut,public,28600
37,Fysioterapeut,public,28700
38,Fysioterapeut,public,28800
39,Fysioterapeut,public,28900
40,Fysioterapeut,public,29000
42,Fysioterapeut,public,29100
43,Fysioterapeut,public,29200
44,Fysioterapeut,public,29350
45,Fysioterapeut,public,29450
46,Fysioterapeut,public,29500
47,Fysioterapeut,public,29600
48,Fysioterapeut,public,29700
49,Fysioterapeut,public,29800
50,Fysioterapeut,public,29900
51,Fysioterapeut,public,30000
53,Fysioterapeut,public,30100
54,Fysioterapeut,public,30200
55,Fysioterapeut,public,30303
56,Fysioterapeut,public,30400
57,Fysioterapeut,public,30500
58,Fysioterapeut,public,30600
59,Fysioterapeut,public,30700
60,Fysioterapeut,public,30800
61,Fysioterapeut,public,30850
62,Fysioterapeut,public,31000
64,Fysioterapeut,public,31100
65,Fysioterapeut,public,31200
66,Fysioterapeut,public,31355
67,Fysioterapeut,public,31500
68,Fysioterapeut,public,31550
69,Fysioterapeut,public,31700
70,Fysioterapeut,public,31800
71,Fysioterapeut,public,32000
72,Fysioterapeut,public,32050
73,Fysioterapeut,public,32200
74,Fysioterapeut,public,32350
75,Fysioterapeut,public,32500
76,Fysioterapeut,public,32650
77,Fysioterapeut,public,32900
78,Fysioterapeut,public,33000
79,Fysioterapeut,public,33200
80,Fysioterapeut,public,33450
81,Fysioterapeut,public,33600
82,Fysioterapeut,public,33800
83,Fysioterapeut,public,34000
84,Fysioterapeut,public,34300
85,Fysioterapeut,public,34700
86,Fysioterapeut,public,35000
87,Fysioterapeut,public,35250
88,Fysioterapeut,public,35700
89,Fysioterapeut,public,36200
90,Fysioterapeut,public,36900
91,Fysioterapeut,public,37500
92,Fysioterapeut,public,38200
93,Fysioterapeut,public,39100
94,Fysioterapeut,public,40000
95,Fysioterapeut,public,41000
96,Fysioterapeut,public,42300
97,Fysioterapeut,public,44000
