percentile,profession,publicprivate,income
3,Högskoleingenjör,private,28000
4,Högskoleingenjör,private,28300
5,Högskoleingenjör,private,29000
6,Högskoleingenjör,private,29100
7,Högskoleingenjör,private,29600
8,Högskoleingenjör,private,30000
9,Högskoleingenjör,private,30269
10,Högskoleingenjör,private,30610
11,Högskoleingenjör,private,31000
12,Högskoleingenjör,private,31300
13,Högskoleingenjör,private,31600
14,Högskoleingenjör,private,32000
16,Högskoleingenjör,private,32450
17,Högskoleingenjör,private,32700
18,Högskoleingenjör,private,33000
19,Högskoleingenjör,private,33200
20,Högskoleingenjör,private,33500
21,Högskoleingenjör,private,33750
22,Högskoleingenjör,private,34000
23,Högskoleingenjör,private,34200
24,Högskoleingenjör,private,34500
25,Högskoleingenjör,private,34800
26,Högskoleingenjör,private,35000
28,Högskoleingenjör,private,35300
29,Högskoleingenjör,private,35600
30,Högskoleingenjör,private,35900
31,Högskoleingenjör,private,36000
32,Högskoleingenjör,private,36244
33,Högskoleingenjör,private,36500
34,Högskoleingenjör,private,36635
35,Högskoleingenjör,private,36986
36,Högskoleingenjör,private,37000
37,Högskoleingenjör,private,37300
38,Högskoleingenjör,private,37500
39,Högskoleingenjör,private,37800
40,Högskoleingenjör,private,38000
41,Högskoleingenjör,private,38100
42,Högskoleingenjör,private,38413
43,Högskoleingenjör,private,38700
44,Högskoleingenjör,private,38970
45,Högskoleingenjör,private,39000
46,Högskoleingenjör,private,39300
47,Högskoleingenjör,private,39500
48,Högskoleingenjör,private,39800
49,Högskoleingenjör,private,40000
51,Högskoleingenjör,private,40274
52,Högskoleingenjör,private,40500
53,Högskoleingenjör,private,40774
54,Högskoleingenjör,private,41000
55,Högskoleingenjör,private,41100
56,Högskoleingenjör,private,41417
57,Högskoleingenjör,private,41685
58,Högskoleingenjör,private,42000
60,Högskoleingenjör,private,42400
61,Högskoleingenjör,private,42625
62,Högskoleingenjör,private,43000
63,Högskoleingenjör,private,43020
64,Högskoleingenjör,private,43450
65,Högskoleingenjör,private,43700
66,Högskoleingenjör,private,44000
67,Högskoleingenjör,private,44300
68,Högskoleingenjör,private,44600
69,Högskoleingenjör,private,45000
71,Högskoleingenjör,private,45340
72,Högskoleingenjör,private,45706
73,Högskoleingenjör,private,46000
74,Högskoleingenjör,private,46450
75,Högskoleingenjör,private,46820
76,Högskoleingenjör,private,47090
77,Högskoleingenjör,private,47500
78,Högskoleingenjör,private,48000
79,Högskoleingenjör,private,48400
80,Högskoleingenjör,private,49000
81,Högskoleingenjör,private,49470
82,Högskoleingenjör,private,50000
83,Högskoleingenjör,private,50160
84,Högskoleingenjör,private,50800
85,Högskoleingenjör,private,51300
86,Högskoleingenjör,private,52000
87,Högskoleingenjör,private,52750
88,Högskoleingenjör,private,53440
89,Högskoleingenjör,private,54244
90,Högskoleingenjör,private,55000
91,Högskoleingenjör,private,56000
92,Högskoleingenjör,private,57000
93,Högskoleingenjör,private,58300
94,Högskoleingenjör,private,60000
95,Högskoleingenjör,private,61500
96,Högskoleingenjör,private,64236
97,Högskoleingenjör,private,67602
