percentile,profession,publicprivate,income
3,Högskoleingenjör,public,27000
4,Högskoleingenjör,public,27500
5,Högskoleingenjör,public,28000
6,Högskoleingenjör,public,28500
7,Högskoleingenjör,public,28900
8,Högskoleingenjör,public,29150
9,Högskoleingenjör,public,29500
10,Högskoleingenjör,public,29800
11,Högskoleingenjör,public,30000
12,Högskoleingenjör,public,30100
13,Högskoleingenjör,public,30450
14,Högskoleingenjör,public,30750
15,Högskoleingenjör,public,31000
17,Högskoleingenjör,public,31300
18,Högskoleingenjör,public,31500
19,Högskoleingenjör,public,31700
20,Högskoleingenjör,public,32000
22,Högskoleingenjör,public,32200
23,Högskoleingenjör,public,32400
24,Högskoleingenjör,public,32500
25,Högskoleingenjör,public,32726
26,Högskoleingenjör,public,32900
27,Högskoleingenjör,public,33000
28,Högskoleingenjör,public,33200
29,Högskoleingenjör,public,33450
30,Högskoleingenjör,public,33600
31,Högskoleingenjör,public,33800
32,Högskoleingenjör,public,34000
33,Högskoleingenjör,public,34040
34,Högskoleingenjör,public,34250
35,Högskoleingenjör,public,34500
36,Högskoleingenjör,public,34600
37,Högskoleingenjör,public,34800
38,Högskoleingenjör,public,35000
40,Högskoleingenjör,public,35100
41,Högskoleingenjör,public,35304
42,Högskoleingenjör,public,35500
43,Högskoleingenjör,public,35600
44,Högskoleingenjör,public,35800
45,Högskoleingenjör,public,36000
47,Högskoleingenjör,public,36300
48,Högskoleingenjör,public,36500
49,Högskoleingenjör,public,36650
50,Högskoleingenjör,public,36900
51,Högskoleingenjör,public,37000
52,Högskoleingenjör,public,37200
53,Högskoleingenjör,public,37500
54,Högskoleingenjör,public,37700
55,Högskoleingenjör,public,37986
56,Högskoleingenjör,public,38000
57,Högskoleingenjör,public,38200
58,Högskoleingenjör,public,38400
59,Högskoleingenjör,public,38600
60,Högskoleingenjör,public,38900
61,Högskoleingenjör,public,39000
62,Högskoleingenjör,public,39200
63,Högskoleingenjör,public,39500
64,Högskoleingenjör,public,39700
65,Högskoleingenjör,public,40000
67,Högskoleingenjör,public,40200
68,Högskoleingenjör,public,40500
69,Högskoleingenjör,public,40700
70,Högskoleingenjör,public,41000
71,Högskoleingenjör,public,41100
72,Högskoleingenjör,public,41500
73,Högskoleingenjör,public,42000
75,Högskoleingenjör,public,42400
76,Högskoleingenjör,public,42600
77,Högskoleingenjör,public,42900
78,Högskoleingenjör,public,43000
79,Högskoleingenjör,public,43300
80,Högskoleingenjör,public,43600
81,Högskoleingenjör,public,44000
82,Högskoleingenjör,public,44500
83,Högskoleingenjör,public,44800
84,Högskoleingenjör,public,45000
85,Högskoleingenjör,public,45500
86,Högskoleingenjör,public,46000
87,Högskoleingenjör,public,46500
88,Högskoleingenjör,public,47000
89,Högskoleingenjör,public,47300
90,Högskoleingenjör,public,47850
91,Högskoleingenjör,public,48300
92,Högskoleingenjör,public,49000
93,Högskoleingenjör,public,49800
94,Högskoleingenjör,public,50800
95,Högskoleingenjör,public,51900
96,Högskoleingenjör,public,53000
97,Högskoleingenjör,public,54600
