percentile,profession,publicprivate,income
3,Präst/diakon,private,29700
4,Präst/diakon,private,30012
5,Präst/diakon,private,30450
6,Präst/diakon,private,30660
7,Präst/diakon,private,30945
8,Präst/diakon,private,31200
9,Präst/diakon,private,31400
10,Präst/diakon,private,31600
11,Präst/diakon,private,31800
12,Präst/diakon,private,32000
13,Präst/diakon,private,32100
14,Präst/diakon,private,32260
15,Präst/diakon,private,32483
16,Präst/diakon,private,32500
17,Präst/diakon,private,32700
18,Präst/diakon,private,32875
19,Präst/diakon,private,33000
20,Präst/diakon,private,33100
21,Präst/diakon,private,33375
22,Präst/diakon,private,33500
23,Präst/diakon,private,33700
24,Präst/diakon,private,33800
25,Präst/diakon,private,34000
26,Präst/diakon,private,34038
27,Präst/diakon,private,34200
28,Präst/diakon,private,34450
29,Präst/diakon,private,34570
30,Präst/diakon,private,34715
31,Präst/diakon,private,34920
32,Präst/diakon,private,35000
33,Präst/diakon,private,35100
34,Präst/diakon,private,35259
35,Präst/diakon,private,35400
36,Präst/diakon,private,35500
37,Präst/diakon,private,35700
38,Präst/diakon,private,35870
39,Präst/diakon,private,36000
40,Präst/diakon,private,36090
41,Präst/diakon,private,36200
42,Präst/diakon,private,36400
43,Präst/diakon,private,36500
44,Präst/diakon,private,36600
45,Präst/diakon,private,36700
46,Präst/diakon,private,36975
47,Präst/diakon,private,37000
48,Präst/diakon,private,37200
49,Präst/diakon,private,37333
50,Präst/diakon,private,37500
51,Präst/diakon,private,37600
52,Präst/diakon,private,37875
53,Präst/diakon,private,38000
54,Präst/diakon,private,38087
55,Präst/diakon,private,38300
56,Präst/diakon,private,38400
57,Präst/diakon,private,38530
58,Präst/diakon,private,38700
59,Präst/diakon,private,39000
60,Präst/diakon,private,39100
61,Präst/diakon,private,39300
62,Präst/diakon,private,39500
63,Präst/diakon,private,39900
64,Präst/diakon,private,40000
65,Präst/diakon,private,40300
66,Präst/diakon,private,40600
67,Präst/diakon,private,40900
68,Präst/diakon,private,41100
69,Präst/diakon,private,41600
70,Präst/diakon,private,42000
71,Präst/diakon,private,42274
72,Präst/diakon,private,42540
73,Präst/diakon,private,43169
74,Präst/diakon,private,43700
75,Präst/diakon,private,44000
76,Präst/diakon,private,44770
77,Präst/diakon,private,45200
78,Präst/diakon,private,46300
79,Präst/diakon,private,47000
80,Präst/diakon,private,47874
81,Präst/diakon,private,48150
82,Präst/diakon,private,49000
83,Präst/diakon,private,49300
84,Präst/diakon,private,49900
85,Präst/diakon,private,50000
86,Präst/diakon,private,50500
87,Präst/diakon,private,51000
88,Präst/diakon,private,52000
89,Präst/diakon,private,52600
90,Präst/diakon,private,53213
91,Präst/diakon,private,54000
92,Präst/diakon,private,54500
93,Präst/diakon,private,55100
94,Präst/diakon,private,56000
95,Präst/diakon,private,57000
96,Präst/diakon,private,58000
97,Präst/diakon,private,59500
