percentile,profession,publicprivate,income
3,Psykolog,private,29149
4,Psykolog,private,30000
5,Psykolog,private,31000
6,Psykolog,private,32000
7,Psykolog,private,32500
8,Psykolog,private,32800
9,Psykolog,private,33550
10,Psykolog,private,34000
11,Psykolog,private,34150
12,Psykolog,private,34850
13,Psykolog,private,35000
16,Psykolog,private,35375
17,Psykolog,private,35500
18,Psykolog,private,35800
19,Psykolog,private,36000
23,Psykolog,private,36100
24,Psykolog,private,36400
25,Psykolog,private,36500
26,Psykolog,private,36550
27,Psykolog,private,36850
28,Psykolog,private,37000
30,Psykolog,private,37072
31,Psykolog,private,37280
32,Psykolog,private,37400
33,Psykolog,private,37500
35,Psykolog,private,37700
36,Psykolog,private,37920
37,Psykolog,private,38000
40,Psykolog,private,38200
41,Psykolog,private,38300
42,Psykolog,private,38500
43,Psykolog,private,38510
44,Psykolog,private,38700
45,Psykolog,private,38900
46,Psykolog,private,39000
50,Psykolog,private,39269
51,Psykolog,private,39500
53,Psykolog,private,39800
54,Psykolog,private,39900
55,Psykolog,private,40000
59,Psykolog,private,40200
60,Psykolog,private,40250
61,Psykolog,private,40300
62,Psykolog,private,40500
63,Psykolog,private,40600
64,Psykolog,private,40800
65,Psykolog,private,41000
67,Psykolog,private,41160
68,Psykolog,private,41400
69,Psykolog,private,41500
70,Psykolog,private,41800
71,Psykolog,private,42000
74,Psykolog,private,42350
75,Psykolog,private,42500
76,Psykolog,private,42970
77,Psykolog,private,43000
79,Psykolog,private,43200
80,Psykolog,private,43650
81,Psykolog,private,43900
82,Psykolog,private,44200
83,Psykolog,private,44500
84,Psykolog,private,45000
85,Psykolog,private,45050
86,Psykolog,private,45691
87,Psykolog,private,46000
88,Psykolog,private,46800
89,Psykolog,private,47300
90,Psykolog,private,48000
91,Psykolog,private,48492
92,Psykolog,private,49000
93,Psykolog,private,50000
94,Psykolog,private,51200
95,Psykolog,private,52000
96,Psykolog,private,54500
97,Psykolog,private,61000
