percentile,profession,publicprivate,income
3,Psykolog,public,26800
4,Psykolog,public,27250
5,Psykolog,public,27900
6,Psykolog,public,28800
7,Psykolog,public,29500
8,Psykolog,public,30000
10,Psykolog,public,30650
11,Psykolog,public,31500
12,Psykolog,public,32000
13,Psykolog,public,32200
14,Psykolog,public,32500
15,Psykolog,public,32800
16,Psykolog,public,33000
18,Psykolog,public,33345
19,Psykolog,public,33500
20,Psykolog,public,33700
21,Psykolog,public,34000
23,Psykolog,public,34200
24,Psykolog,public,34450
25,Psykolog,public,34500
26,Psykolog,public,34700
27,Psykolog,public,34950
28,Psykolog,public,35000
29,Psykolog,public,35100
30,Psykolog,public,35200
31,Psykolog,public,35400
32,Psykolog,public,35500
33,Psykolog,public,35680
34,Psykolog,public,35750
35,Psykolog,public,35900
36,Psykolog,public,36000
38,Psykolog,public,36100
39,Psykolog,public,36250
40,Psykolog,public,36400
41,Psykolog,public,36500
42,Psykolog,public,36600
43,Psykolog,public,36800
44,Psykolog,public,36925
45,Psykolog,public,37000
46,Psykolog,public,37100
47,Psykolog,public,37200
48,Psykolog,public,37400
49,Psykolog,public,37500
50,Psykolog,public,37550
51,Psykolog,public,37700
52,Psykolog,public,37900
53,Psykolog,public,38000
55,Psykolog,public,38185
56,Psykolog,public,38400
57,Psykolog,public,38500
58,Psykolog,public,38600
59,Psykolog,public,38800
60,Psykolog,public,39000
62,Psykolog,public,39200
63,Psykolog,public,39400
64,Psykolog,public,39500
65,Psykolog,public,39600
66,Psykolog,public,39800
67,Psykolog,public,39950
68,Psykolog,public,40000
69,Psykolog,public,40050
70,Psykolog,public,40200
71,Psykolog,public,40400
72,Psykolog,public,40500
73,Psykolog,public,40600
74,Psykolog,public,40800
75,Psykolog,public,41000
76,Psykolog,public,41100
77,Psykolog,public,41280
78,Psykolog,public,41500
79,Psykolog,public,41600
80,Psykolog,public,41900
81,Psykolog,public,42000
82,Psykolog,public,42100
83,Psykolog,public,42500
84,Psykolog,public,42700
85,Psykolog,public,43000
86,Psykolog,public,43150
87,Psykolog,public,43500
88,Psykolog,public,43800
89,Psykolog,public,44000
90,Psykolog,public,44500
91,Psykolog,public,44900
92,Psykolog,public,45170
93,Psykolog,public,45800
94,Psykolog,public,46400
95,Psykolog,public,47400
96,Psykolog,public,48450
97,Psykolog,public,49800
