percentile,profession,publicprivate,income
3,Tandhygienist,private,24500
4,Tandhygienist,private,25000
5,Tandhygienist,private,25650
6,Tandhygienist,private,26000
8,Tandhygienist,private,26500
9,Tandhygienist,private,26650
10,Tandhygienist,private,27000
11,Tandhygienist,private,27095
12,Tandhygienist,private,27400
13,Tandhygienist,private,27700
14,Tandhygienist,private,28000
16,Tandhygienist,private,28500
17,Tandhygienist,private,28600
18,Tandhygienist,private,28860
19,Tandhygienist,private,29000
21,Tandhygienist,private,29300
22,Tandhygienist,private,29500
23,Tandhygienist,private,29700
24,Tandhygienist,private,30000
28,Tandhygienist,private,30135
29,Tandhygienist,private,30224
30,Tandhygienist,private,30500
31,Tandhygienist,private,30700
32,Tandhygienist,private,30750
33,Tandhygienist,private,30900
34,Tandhygienist,private,31000
36,Tandhygienist,private,31100
37,Tandhygienist,private,31200
38,Tandhygienist,private,31400
39,Tandhygienist,private,31500
40,Tandhygienist,private,31548
41,Tandhygienist,private,31750
42,Tandhygienist,private,32000
45,Tandhygienist,private,32109
46,Tandhygienist,private,32253
47,Tandhygienist,private,32450
48,Tandhygienist,private,32500
49,Tandhygienist,private,32600
50,Tandhygienist,private,32650
51,Tandhygienist,private,32887
52,Tandhygienist,private,33000
55,Tandhygienist,private,33062
56,Tandhygienist,private,33150
57,Tandhygienist,private,33250
58,Tandhygienist,private,33358
59,Tandhygienist,private,33450
60,Tandhygienist,private,33500
61,Tandhygienist,private,33600
62,Tandhygienist,private,33700
63,Tandhygienist,private,33800
64,Tandhygienist,private,33900
65,Tandhygienist,private,34000
69,Tandhygienist,private,34200
70,Tandhygienist,private,34401
71,Tandhygienist,private,34500
72,Tandhygienist,private,34700
73,Tandhygienist,private,34800
74,Tandhygienist,private,35000
77,Tandhygienist,private,35100
78,Tandhygienist,private,35200
79,Tandhygienist,private,35495
80,Tandhygienist,private,35610
81,Tandhygienist,private,35800
82,Tandhygienist,private,36000
83,Tandhygienist,private,36100
84,Tandhygienist,private,36192
85,Tandhygienist,private,36528
86,Tandhygienist,private,37000
87,Tandhygienist,private,37066
88,Tandhygienist,private,37405
89,Tandhygienist,private,37700
90,Tandhygienist,private,38000
92,Tandhygienist,private,38555
93,Tandhygienist,private,38900
94,Tandhygienist,private,39500
95,Tandhygienist,private,40000
96,Tandhygienist,private,41561
97,Tandhygienist,private,43700
