profession,publicprivate,value,income
Agronom,private,0.02338129496,-26000
Agronom,private,0.01258992806,26000-26999
Agronom,private,0.01438848921,27000-27999
Agronom,private,0.02697841727,28000-28999
Agronom,private,0.02158273381,29000-29999
Agronom,private,0.03956834532,30000-30999
Agronom,private,0.02877697842,31000-31999
Agronom,private,0.03776978417,32000-32999
Agronom,private,0.03597122302,33000-33999
Agronom,private,0.03776978417,34000-34999
Agronom,private,0.04856115108,35000-35999
Agronom,private,0.04676258993,36000-36999
Agronom,private,0.04316546763,37000-37999
Agronom,private,0.05035971223,38000-38999
Agronom,private,0.04856115108,39000-39999
Agronom,private,0.05035971223,40000-40999
Agronom,private,0.03057553957,41000-41999
Agronom,private,0.03597122302,42000-42999
Agronom,private,0.03057553957,43000-43999
Agronom,private,0.02338129496,44000-44999
Agronom,private,0.02158273381,45000-45999
Agronom,private,0.01438848921,46000-46999
Agronom,private,0.02158273381,47000-47999
Agronom,private,0.02158273381,48000-48999
Agronom,private,0.01258992806,49000-49999
Agronom,private,0.01798561151,50000-50999
Agronom,private,0.02338129496,51000-51999
Agronom,private,0.01798561151,52000-52999
Agronom,private,0.00899280576,53000-53999
Agronom,private,0.01079136691,54000-54999
Agronom,private,0.00899280576,55000-55999
Agronom,private,0.01079136691,56000-56999
Agronom,private,0.0035971223,57000-57999
Agronom,private,0.01258992806,58000-58999
Agronom,private,0.0071942446,59000-59999
Agronom,private,0.0071942446,60000-60999
Agronom,private,0.00539568345,61000-61999
Agronom,private,0.00539568345,62000-62999
Agronom,private,0.0035971223,63000-63999
Agronom,private,0.0035971223,64000-64999
Agronom,private,0.0071942446,65000-65999
Agronom,private,0.0,66000-66999
Agronom,private,0.0035971223,67000-67999
Agronom,private,0.00179856115,68000-68999
Agronom,private,0.0035971223,69000-69999
Agronom,private,0.0035971223,70000-70999
Agronom,private,0.0071942446,71000-71999
Agronom,private,0.0,72000-72999
Agronom,private,0.00179856115,73000-73999
Agronom,private,0.0,74000-74999
Agronom,private,0.00179856115,75000-75999
Agronom,private,0.0,76000-76999
Agronom,private,0.0,77000-77999
Agronom,private,0.00179856115,78000-78999
Agronom,private,0.00179856115,79000-79999
Agronom,private,0.03956834532,80000-
