profession,publicprivate,value,income
Agronom,public,0.02329192547,-26000
Agronom,public,0.02329192547,26000-26999
Agronom,public,0.04347826087,27000-27999
Agronom,public,0.04968944099,28000-28999
Agronom,public,0.04192546584,29000-29999
Agronom,public,0.06366459627,30000-30999
Agronom,public,0.0652173913,31000-31999
Agronom,public,0.07453416149,32000-32999
Agronom,public,0.07298136646,33000-33999
Agronom,public,0.04813664596,34000-34999
Agronom,public,0.03881987578,35000-35999
Agronom,public,0.0450310559,36000-36999
Agronom,public,0.03260869565,37000-37999
Agronom,public,0.04192546584,38000-38999
Agronom,public,0.03881987578,39000-39999
Agronom,public,0.0248447205,40000-40999
Agronom,public,0.03726708075,41000-41999
Agronom,public,0.03260869565,42000-42999
Agronom,public,0.02173913043,43000-43999
Agronom,public,0.0248447205,44000-44999
Agronom,public,0.01086956522,45000-45999
Agronom,public,0.01863354037,46000-46999
Agronom,public,0.01708074534,47000-47999
Agronom,public,0.01242236025,48000-48999
Agronom,public,0.01397515528,49000-49999
Agronom,public,0.00776397516,50000-50999
Agronom,public,0.00776397516,51000-51999
Agronom,public,0.01242236025,52000-52999
Agronom,public,0.00776397516,53000-53999
Agronom,public,0.00310559006,54000-54999
Agronom,public,0.00931677019,55000-55999
Agronom,public,0.03416149068,56000-
