profession,publicprivate,value,income
Arbetsterapeut,private,0.03281519862,-25000
Arbetsterapeut,private,0.05008635579,25000-25999
Arbetsterapeut,private,0.07599309154,26000-26999
Arbetsterapeut,private,0.09844559585,27000-27999
Arbetsterapeut,private,0.09499136442,28000-28999
Arbetsterapeut,private,0.127806563,29000-29999
Arbetsterapeut,private,0.1260794473,30000-30999
Arbetsterapeut,private,0.08462867012,31000-31999
Arbetsterapeut,private,0.08117443869,32000-32999
Arbetsterapeut,private,0.05526770294,33000-33999
Arbetsterapeut,private,0.0310880829,34000-34999
Arbetsterapeut,private,0.03799654577,35000-35999
Arbetsterapeut,private,0.01554404145,36000-36999
Arbetsterapeut,private,0.01727115717,37000-37999
Arbetsterapeut,private,0.0103626943,38000-38999
Arbetsterapeut,private,0.00863557858,39000-39999
Arbetsterapeut,private,0.01208981002,40000-40999
Arbetsterapeut,private,0.00690846287,41000-41999
Arbetsterapeut,private,0.03281519862,42000-
