profession,publicprivate,value,income
Arkitekt,public,0.01825557809,-29999
Arkitekt,public,0.02028397566,30000-30999
Arkitekt,public,0.02434077079,31000-31999
Arkitekt,public,0.04056795132,32000-32999
Arkitekt,public,0.02636916836,33000-33999
Arkitekt,public,0.04665314402,34000-34999
Arkitekt,public,0.04868154158,35000-35999
Arkitekt,public,0.04259634888,36000-36999
Arkitekt,public,0.05679513185,37000-37999
Arkitekt,public,0.04868154158,38000-38999
Arkitekt,public,0.05679513185,39000-39999
Arkitekt,public,0.05273833671,40000-40999
Arkitekt,public,0.05476673428,41000-41999
Arkitekt,public,0.04665314402,42000-42999
Arkitekt,public,0.03245436105,43000-43999
Arkitekt,public,0.03245436105,44000-44999
Arkitekt,public,0.04056795132,45000-45999
Arkitekt,public,0.02231237323,46000-46999
Arkitekt,public,0.02839756592,47000-47999
Arkitekt,public,0.03042596349,48000-48999
Arkitekt,public,0.01825557809,49000-49999
Arkitekt,public,0.03651115619,50000-50999
Arkitekt,public,0.02231237323,51000-51999
Arkitekt,public,0.00811359026,52000-52999
Arkitekt,public,0.01825557809,53000-53999
Arkitekt,public,0.01014198783,54000-54999
Arkitekt,public,0.01825557809,55000-55999
Arkitekt,public,0.00405679513,56000-56999
Arkitekt,public,0.0060851927,57000-57999
Arkitekt,public,0.01014198783,58000-58999
Arkitekt,public,0.0060851927,59000-59999
Arkitekt,public,0.0060851927,60000-60999
Arkitekt,public,0.00202839757,61000-61999
Arkitekt,public,0.00405679513,62000-62999
Arkitekt,public,0.01014198783,63000-63999
Arkitekt,public,0.0,64000-64999
Arkitekt,public,0.00811359026,65000-65999
Arkitekt,public,0.00405679513,66000-66999
Arkitekt,public,0.0,67000-67999
Arkitekt,public,0.00202839757,68000-68999
Arkitekt,public,0.00202839757,69000-69999
Arkitekt,public,0.03245436105,70000-
