profession,publicprivate,value,income
Biolog,private,0.02388059701,-25000
Biolog,private,0.01492537313,25000-25999
Biolog,private,0.01592039801,26000-26999
Biolog,private,0.02288557214,27000-27999
Biolog,private,0.03184079602,28000-28999
Biolog,private,0.02089552239,29000-29999
Biolog,private,0.03482587065,30000-30999
Biolog,private,0.02985074627,31000-31999
Biolog,private,0.03482587065,32000-32999
Biolog,private,0.04278606965,33000-33999
Biolog,private,0.04975124378,34000-34999
Biolog,private,0.03880597015,35000-35999
Biolog,private,0.03582089552,36000-36999
Biolog,private,0.03582089552,37000-37999
Biolog,private,0.04378109453,38000-38999
Biolog,private,0.02985074627,39000-39999
Biolog,private,0.03781094527,40000-40999
Biolog,private,0.0328358209,41000-41999
Biolog,private,0.0368159204,42000-42999
Biolog,private,0.02587064677,43000-43999
Biolog,private,0.02487562189,44000-44999
Biolog,private,0.03084577114,45000-45999
Biolog,private,0.01990049751,46000-46999
Biolog,private,0.01791044776,47000-47999
Biolog,private,0.02885572139,48000-48999
Biolog,private,0.01293532338,49000-49999
Biolog,private,0.02388059701,50000-50999
Biolog,private,0.01293532338,51000-51999
Biolog,private,0.01890547264,52000-52999
Biolog,private,0.01393034826,53000-53999
Biolog,private,0.01194029851,54000-54999
Biolog,private,0.02288557214,55000-55999
Biolog,private,0.007960199,56000-56999
Biolog,private,0.00995024876,57000-57999
Biolog,private,0.0039800995,58000-58999
Biolog,private,0.00995024876,59000-59999
Biolog,private,0.007960199,60000-60999
Biolog,private,0.00497512438,61000-61999
Biolog,private,0.00199004975,62000-62999
Biolog,private,0.0039800995,63000-63999
Biolog,private,0.0039800995,64000-64999
Biolog,private,0.00497512438,65000-65999
Biolog,private,0.00597014925,66000-66999
Biolog,private,0.00199004975,67000-67999
Biolog,private,0.00199004975,68000-68999
Biolog,private,0.00298507463,69000-69999
Biolog,private,0.00298507463,70000-70999
Biolog,private,0.00099502488,71000-71999
Biolog,private,0.0039800995,72000-72999
Biolog,private,0.00199004975,73000-73999
Biolog,private,0.00099502488,74000-74999
Biolog,private,0.00597014925,75000-75999
Biolog,private,0.03084577114,76000-
