profession,publicprivate,value,income
Civilekonom/ekonom,public,0.01821074965,-26000
Civilekonom/ekonom,public,0.01538189533,26000-26999
Civilekonom/ekonom,public,0.01997878359,27000-27999
Civilekonom/ekonom,public,0.02280763791,28000-28999
Civilekonom/ekonom,public,0.02669731259,29000-29999
Civilekonom/ekonom,public,0.03058698727,30000-30999
Civilekonom/ekonom,public,0.03571428571,31000-31999
Civilekonom/ekonom,public,0.03748231966,32000-32999
Civilekonom/ekonom,public,0.0360678925,33000-33999
Civilekonom/ekonom,public,0.04013437058,34000-34999
Civilekonom/ekonom,public,0.04349363508,35000-35999
Civilekonom/ekonom,public,0.04490806223,36000-36999
Civilekonom/ekonom,public,0.04349363508,37000-37999
Civilekonom/ekonom,public,0.0493281471,38000-38999
Civilekonom/ekonom,public,0.03465346535,39000-39999
Civilekonom/ekonom,public,0.04543847242,40000-40999
Civilekonom/ekonom,public,0.03518387553,41000-41999
Civilekonom/ekonom,public,0.03589108911,42000-42999
Civilekonom/ekonom,public,0.03111739745,43000-43999
Civilekonom/ekonom,public,0.03182461103,44000-44999
Civilekonom/ekonom,public,0.03164780764,45000-45999
Civilekonom/ekonom,public,0.02687411598,46000-46999
Civilekonom/ekonom,public,0.02050919378,47000-47999
Civilekonom/ekonom,public,0.02351485149,48000-48999
Civilekonom/ekonom,public,0.01856435644,49000-49999
Civilekonom/ekonom,public,0.02103960396,50000-50999
Civilekonom/ekonom,public,0.01520509194,51000-51999
Civilekonom/ekonom,public,0.01679632249,52000-52999
Civilekonom/ekonom,public,0.01113861386,53000-53999
Civilekonom/ekonom,public,0.01113861386,54000-54999
Civilekonom/ekonom,public,0.01343705799,55000-55999
Civilekonom/ekonom,public,0.01113861386,56000-56999
Civilekonom/ekonom,public,0.00937057992,57000-57999
Civilekonom/ekonom,public,0.00707213579,58000-58999
Civilekonom/ekonom,public,0.00760254597,59000-59999
Civilekonom/ekonom,public,0.00848656294,60000-60999
Civilekonom/ekonom,public,0.00459688826,61000-61999
Civilekonom/ekonom,public,0.00601131542,62000-62999
Civilekonom/ekonom,public,0.00459688826,63000-63999
Civilekonom/ekonom,public,0.00247524752,64000-64999
Civilekonom/ekonom,public,0.00548090523,65000-65999
Civilekonom/ekonom,public,0.00212164074,66000-66999
Civilekonom/ekonom,public,0.00300565771,67000-67999
Civilekonom/ekonom,public,0.00388967468,68000-68999
Civilekonom/ekonom,public,0.00424328147,69000-69999
Civilekonom/ekonom,public,0.03164780764,70000-
