profession,publicprivate,value,income
Civilingenjör,private,0.0295971499,-30000
Civilingenjör,private,0.02022970179,30000-30999
Civilingenjör,private,0.02005530781,31000-31999
Civilingenjör,private,0.02065323003,32000-32999
Civilingenjör,private,0.02302000548,33000-33999
Civilingenjör,private,0.02359301428,34000-34999
Civilingenjör,private,0.02723037445,35000-35999
Civilingenjör,private,0.02700615362,36000-36999
Civilingenjör,private,0.02792795037,37000-37999
Civilingenjör,private,0.03059368694,38000-38999
Civilingenjör,private,0.02800269065,39000-39999
Civilingenjör,private,0.03443035452,40000-40999
Civilingenjör,private,0.02947258277,41000-41999
Civilingenjör,private,0.03328433693,42000-42999
Civilingenjör,private,0.0301701587,43000-43999
Civilingenjör,private,0.0301701587,44000-44999
Civilingenjör,private,0.03281098184,45000-45999
Civilingenjör,private,0.02865043972,46000-46999
Civilingenjör,private,0.02835147861,47000-47999
Civilingenjör,private,0.02760407584,48000-48999
Civilingenjör,private,0.02628366427,49000-49999
Civilingenjör,private,0.0323874536,50000-50999
Civilingenjör,private,0.02461446474,51000-51999
Civilingenjör,private,0.02416602307,52000-52999
Civilingenjör,private,0.02304491891,53000-53999
Civilingenjör,private,0.02164976706,54000-54999
Civilingenjör,private,0.02117641197,55000-55999
Civilingenjör,private,0.01786292633,56000-56999
Civilingenjör,private,0.01611898652,57000-57999
Civilingenjör,private,0.01582002541,58000-58999
Civilingenjör,private,0.01477366153,59000-59999
Civilingenjör,private,0.01669199532,60000-60999
Civilingenjör,private,0.01225740552,61000-61999
Civilingenjör,private,0.01223249209,62000-62999
Civilingenjör,private,0.01086225367,63000-63999
Civilingenjör,private,0.01048855228,64000-64999
Civilingenjör,private,0.01138543561,65000-65999
Civilingenjör,private,0.00859513192,66000-66999
Civilingenjör,private,0.00715015322,67000-67999
Civilingenjör,private,0.00802212312,68000-68999
Civilingenjör,private,0.00652731757,69000-69999
Civilingenjör,private,0.00827125738,70000-70999
Civilingenjör,private,0.00525673285,71000-71999
Civilingenjör,private,0.005206906,72000-72999
Civilingenjör,private,0.00460898378,73000-73999
Civilingenjör,private,0.00408580184,74000-74999
Civilingenjör,private,0.00585465507,75000-75999
Civilingenjör,private,0.00368718703,76000-76999
Civilingenjör,private,0.00338822591,77000-77999
Civilingenjör,private,0.00316400508,78000-78999
Civilingenjör,private,0.00249134258,79000-79999
Civilingenjör,private,0.05901990583,80000-
