profession,publicprivate,value,income
Farmaceut,private,0.02815376286,-26999
Farmaceut,private,0.03086085544,27000-27999
Farmaceut,private,0.04818624797,28000-28999
Farmaceut,private,0.06334596643,29000-29999
Farmaceut,private,0.08608554413,30000-30999
Farmaceut,private,0.06984298863,31000-31999
Farmaceut,private,0.08879263671,32000-32999
Farmaceut,private,0.07471575528,33000-33999
Farmaceut,private,0.0655116405,34000-34999
Farmaceut,private,0.05739036275,35000-35999
Farmaceut,private,0.03086085544,36000-36999
Farmaceut,private,0.02869518138,37000-37999
Farmaceut,private,0.03086085544,38000-38999
Farmaceut,private,0.01949106659,39000-39999
Farmaceut,private,0.02652950731,40000-40999
Farmaceut,private,0.02165674066,41000-41999
Farmaceut,private,0.01570113698,42000-42999
Farmaceut,private,0.01407688143,43000-43999
Farmaceut,private,0.01894964808,44000-44999
Farmaceut,private,0.01949106659,45000-45999
Farmaceut,private,0.01353546291,46000-46999
Farmaceut,private,0.00703844071,47000-47999
Farmaceut,private,0.01191120736,48000-48999
Farmaceut,private,0.00595560368,49000-49999
Farmaceut,private,0.00866269626,50000-50999
Farmaceut,private,0.00866269626,51000-51999
Farmaceut,private,0.00595560368,52000-52999
Farmaceut,private,0.0064970222,53000-53999
Farmaceut,private,0.00487276665,54000-54999
Farmaceut,private,0.00541418517,55000-55999
Farmaceut,private,0.00487276665,56000-56999
Farmaceut,private,0.00216567407,57000-57999
Farmaceut,private,0.00162425555,58000-58999
Farmaceut,private,0.00216567407,59000-59999
Farmaceut,private,0.00487276665,60000-60999
Farmaceut,private,0.00108283703,61000-61999
Farmaceut,private,0.0032485111,62000-62999
Farmaceut,private,0.00487276665,63000-63999
Farmaceut,private,0.00216567407,64000-64999
Farmaceut,private,0.00216567407,65000-65999
Farmaceut,private,0.00216567407,66000-66999
Farmaceut,private,0.00378992962,67000-67999
Farmaceut,private,0.0,68000-68999
Farmaceut,private,0.00487276665,69000-69999
Farmaceut,private,0.00270709258,70000-70999
Farmaceut,private,0.00216567407,71000-71999
Farmaceut,private,0.00162425555,72000-72999
Farmaceut,private,0.00270709258,73000-73999
Farmaceut,private,0.00162425555,74000-74999
Farmaceut,private,0.00108283703,75000-75999
Farmaceut,private,0.03031943692,76000-
