profession,publicprivate,value,income
Farmaceut,public,0.02962962963,-28999
Farmaceut,public,0.02222222222,29000-29999
Farmaceut,public,0.02716049383,30000-30999
Farmaceut,public,0.04938271605,31000-31999
Farmaceut,public,0.05185185185,32000-32999
Farmaceut,public,0.05925925926,33000-33999
Farmaceut,public,0.06419753086,34000-34999
Farmaceut,public,0.04691358025,35000-35999
Farmaceut,public,0.05432098765,36000-36999
Farmaceut,public,0.05679012346,37000-37999
Farmaceut,public,0.04444444444,38000-38999
Farmaceut,public,0.05679012346,39000-39999
Farmaceut,public,0.03456790123,40000-40999
Farmaceut,public,0.04691358025,41000-41999
Farmaceut,public,0.04938271605,42000-42999
Farmaceut,public,0.02962962963,43000-43999
Farmaceut,public,0.02469135802,44000-44999
Farmaceut,public,0.02716049383,45000-45999
Farmaceut,public,0.02962962963,46000-46999
Farmaceut,public,0.02469135802,47000-47999
Farmaceut,public,0.02962962963,48000-48999
Farmaceut,public,0.0049382716,49000-49999
Farmaceut,public,0.02222222222,50000-50999
Farmaceut,public,0.00740740741,51000-51999
Farmaceut,public,0.01481481481,52000-52999
Farmaceut,public,0.00987654321,53000-53999
Farmaceut,public,0.01234567901,54000-54999
Farmaceut,public,0.0049382716,55000-55999
Farmaceut,public,0.0049382716,56000-56999
Farmaceut,public,0.0049382716,57000-57999
Farmaceut,public,0.01481481481,58000-58999
Farmaceut,public,0.0024691358,59000-59999
Farmaceut,public,0.0024691358,60000-60999
Farmaceut,public,0.0024691358,61000-61999
Farmaceut,public,0.03209876543,62000-
