profession,publicprivate,value,income
Fysioterapeut,public,0.09864559819,-25000
Fysioterapeut,public,0.0762979684,25000-25999
Fysioterapeut,public,0.08239277652,26000-26999
Fysioterapeut,public,0.09571106095,27000-27999
Fysioterapeut,public,0.1090293454,28000-28999
Fysioterapeut,public,0.1171557562,29000-29999
Fysioterapeut,public,0.1124153499,30000-30999
Fysioterapeut,public,0.07133182844,31000-31999
Fysioterapeut,public,0.05237020316,32000-32999
Fysioterapeut,public,0.0388261851,33000-33999
Fysioterapeut,public,0.02776523702,34000-34999
Fysioterapeut,public,0.01670428894,35000-35999
Fysioterapeut,public,0.0151241535,36000-36999
Fysioterapeut,public,0.01083521445,37000-37999
Fysioterapeut,public,0.01241534989,38000-38999
Fysioterapeut,public,0.0079006772,39000-39999
Fysioterapeut,public,0.00880361174,40000-40999
Fysioterapeut,public,0.00609480813,41000-41999
Fysioterapeut,public,0.00496613995,42000-42999
Fysioterapeut,public,0.00428893905,43000-43999
Fysioterapeut,public,0.0309255079,44000-
