profession,publicprivate,value,income
Högskoleingenjör,private,0.008116883117,-25000
Högskoleingenjör,private,0.011192754614,25000-25999
Högskoleingenjör,private,0.013926862611,26000-26999
Högskoleingenjör,private,0.023923444976,27000-27999
Högskoleingenjör,private,0.03494531784,28000-28999
Högskoleingenjör,private,0.036226930964,29000-29999
Högskoleingenjör,private,0.044087491456,30000-30999
Högskoleingenjör,private,0.037252221463,31000-31999
Högskoleingenjör,private,0.046052631579,32000-32999
Högskoleingenjör,private,0.045967190704,33000-33999
Högskoleingenjör,private,0.046479835954,34000-34999
Högskoleingenjör,private,0.053827751196,35000-35999
Högskoleingenjör,private,0.048274094327,36000-36999
Högskoleingenjör,private,0.045796308954,37000-37999
Högskoleingenjör,private,0.047248803828,38000-38999
Högskoleingenjör,private,0.042805878332,39000-39999
Högskoleingenjör,private,0.046394395079,40000-40999
Högskoleingenjör,private,0.040755297334,41000-41999
Högskoleingenjör,private,0.038619275461,42000-42999
Högskoleingenjör,private,0.03041695147,43000-43999
Högskoleingenjör,private,0.026657552973,44000-44999
Högskoleingenjör,private,0.029477101846,45000-45999
Högskoleingenjör,private,0.021445659604,46000-46999
Högskoleingenjör,private,0.021531100478,47000-47999
Högskoleingenjör,private,0.017173615858,48000-48999
Högskoleingenjör,private,0.013755980861,49000-49999
Högskoleingenjör,private,0.016660970608,50000-50999
Högskoleingenjör,private,0.010594668489,51000-51999
Högskoleingenjör,private,0.00991114149,52000-52999
Högskoleingenjör,private,0.011278195489,53000-53999
Högskoleingenjör,private,0.006664388243,54000-54999
Högskoleingenjör,private,0.009398496241,55000-55999
Högskoleingenjör,private,0.006493506494,56000-56999
Högskoleingenjör,private,0.006578947368,57000-57999
Högskoleingenjör,private,0.003161312372,58000-58999
Högskoleingenjör,private,0.00487012987,59000-59999
Högskoleingenjör,private,0.004784688995,60000-60999
Högskoleingenjör,private,0.004272043746,61000-61999
Högskoleingenjör,private,0.032980177717,62000-
