profession,publicprivate,value,income
Jurist,private,0.02346570397,-26999
Jurist,private,0.01371841155,27000-27999
Jurist,private,0.01588447653,28000-28999
Jurist,private,0.01805054152,29000-29999
Jurist,private,0.02779783394,30000-30999
Jurist,private,0.02129963899,31000-31999
Jurist,private,0.0238267148,32000-32999
Jurist,private,0.0238267148,33000-33999
Jurist,private,0.02310469314,34000-34999
Jurist,private,0.03032490975,35000-35999
Jurist,private,0.02166064982,36000-36999
Jurist,private,0.02527075812,37000-37999
Jurist,private,0.02924187726,38000-38999
Jurist,private,0.02238267148,39000-39999
Jurist,private,0.02888086643,40000-40999
Jurist,private,0.01444043321,41000-41999
Jurist,private,0.01985559567,42000-42999
Jurist,private,0.01949458484,43000-43999
Jurist,private,0.01877256318,44000-44999
Jurist,private,0.02671480144,45000-45999
Jurist,private,0.01624548736,46000-46999
Jurist,private,0.02310469314,47000-47999
Jurist,private,0.01805054152,48000-48999
Jurist,private,0.01624548736,49000-49999
Jurist,private,0.02490974729,50000-50999
Jurist,private,0.0155234657,51000-51999
Jurist,private,0.01588447653,52000-52999
Jurist,private,0.01588447653,53000-53999
Jurist,private,0.01696750903,54000-54999
Jurist,private,0.02129963899,55000-55999
Jurist,private,0.01407942238,56000-56999
Jurist,private,0.01407942238,57000-57999
Jurist,private,0.01046931408,58000-58999
Jurist,private,0.01083032491,59000-59999
Jurist,private,0.01877256318,60000-60999
Jurist,private,0.01263537906,61000-61999
Jurist,private,0.00974729242,62000-62999
Jurist,private,0.01263537906,63000-63999
Jurist,private,0.00794223827,64000-64999
Jurist,private,0.01660649819,65000-65999
Jurist,private,0.01119133574,66000-66999
Jurist,private,0.00974729242,67000-67999
Jurist,private,0.00794223827,68000-68999
Jurist,private,0.00938628159,69000-69999
Jurist,private,0.01732851986,70000-70999
Jurist,private,0.00866425993,71000-71999
Jurist,private,0.0083032491,72000-72999
Jurist,private,0.0083032491,73000-73999
Jurist,private,0.00433212996,74000-74999
Jurist,private,0.01083032491,75000-75999
Jurist,private,0.00685920578,76000-76999
Jurist,private,0.01155234657,77000-77999
Jurist,private,0.00613718412,78000-78999
Jurist,private,0.00288808664,79000-79999
Jurist,private,0.1166064982,80000-
