profession,publicprivate,value,income
Jurist,public,0.02971216342,-25999
Jurist,public,0.02116991643,26000-26999
Jurist,public,0.0495821727,27000-27999
Jurist,public,0.03082636955,28000-28999
Jurist,public,0.0252553389,29000-29999
Jurist,public,0.02488393686,30000-30999
Jurist,public,0.04011142061,31000-31999
Jurist,public,0.02934076137,32000-32999
Jurist,public,0.02989786444,33000-33999
Jurist,public,0.0295264624,34000-34999
Jurist,public,0.02971216342,35000-35999
Jurist,public,0.03862581244,36000-36999
Jurist,public,0.03064066852,37000-37999
Jurist,public,0.03491179201,38000-38999
Jurist,public,0.02971216342,39000-39999
Jurist,public,0.02618384401,40000-40999
Jurist,public,0.02748375116,41000-41999
Jurist,public,0.0252553389,42000-42999
Jurist,public,0.03008356546,43000-43999
Jurist,public,0.02766945218,44000-44999
Jurist,public,0.03026926648,45000-45999
Jurist,public,0.0252553389,46000-46999
Jurist,public,0.02228412256,47000-47999
Jurist,public,0.01949860724,48000-48999
Jurist,public,0.01615598886,49000-49999
Jurist,public,0.01559888579,50000-50999
Jurist,public,0.01337047354,51000-51999
Jurist,public,0.0103992572,52000-52999
Jurist,public,0.01188486537,53000-53999
Jurist,public,0.01114206128,54000-54999
Jurist,public,0.0103992572,55000-55999
Jurist,public,0.00891364903,56000-56999
Jurist,public,0.01058495822,57000-57999
Jurist,public,0.01262766945,58000-58999
Jurist,public,0.01299907149,59000-59999
Jurist,public,0.02005571031,60000-60999
Jurist,public,0.01578458682,61000-61999
Jurist,public,0.01634168988,62000-62999
Jurist,public,0.01355617456,63000-63999
Jurist,public,0.008727948,64000-64999
Jurist,public,0.00631383473,65000-65999
Jurist,public,0.0061281337,66000-66999
Jurist,public,0.00557103064,67000-67999
Jurist,public,0.00464252553,68000-68999
Jurist,public,0.00352831941,69000-69999
Jurist,public,0.0061281337,70000-70999
Jurist,public,0.00501392758,71000-71999
Jurist,public,0.00482822656,72000-72999
Jurist,public,0.0025998143,73000-73999
Jurist,public,0.00278551532,74000-74999
Jurist,public,0.00185701021,75000-75999
Jurist,public,0.0025998143,76000-76999
Jurist,public,0.03156917363,77000-
