profession,publicprivate,value,income
Miljövetare,private,0.01854974705,-24999
Miljövetare,private,0.01349072513,25000-25999
Miljövetare,private,0.01180438449,26000-26999
Miljövetare,private,0.02360876897,27000-27999
Miljövetare,private,0.03541315346,28000-28999
Miljövetare,private,0.03035413153,29000-29999
Miljövetare,private,0.0370994941,30000-30999
Miljövetare,private,0.05227655987,31000-31999
Miljövetare,private,0.05396290051,32000-32999
Miljövetare,private,0.05733558179,33000-33999
Miljövetare,private,0.06070826307,34000-34999
Miljövetare,private,0.06070826307,35000-35999
Miljövetare,private,0.05902192243,36000-36999
Miljövetare,private,0.05902192243,37000-37999
Miljövetare,private,0.02866779089,38000-38999
Miljövetare,private,0.04215851602,39000-39999
Miljövetare,private,0.0370994941,40000-40999
Miljövetare,private,0.04047217538,41000-41999
Miljövetare,private,0.03878583474,42000-42999
Miljövetare,private,0.04384485666,43000-43999
Miljövetare,private,0.01854974705,44000-44999
Miljövetare,private,0.03204047218,45000-45999
Miljövetare,private,0.01686340641,46000-46999
Miljövetare,private,0.02192242833,47000-47999
Miljövetare,private,0.01011804384,48000-48999
Miljövetare,private,0.01349072513,49000-49999
Miljövetare,private,0.01349072513,50000-50999
Miljövetare,private,0.01011804384,51000-51999
Miljövetare,private,0.00674536256,52000-52999
Miljövetare,private,0.01011804384,53000-53999
Miljövetare,private,0.00337268128,54000-54999
Miljövetare,private,0.00337268128,55000-55999
Miljövetare,private,0.00337268128,56000-56999
Miljövetare,private,0.03204047218,57000-
