profession,publicprivate,value,income
Personalvetare,private,0.01486013986,-25000
Personalvetare,private,0.01923076923,25000-25999
Personalvetare,private,0.01573426573,26000-26999
Personalvetare,private,0.0236013986,27000-27999
Personalvetare,private,0.02447552448,28000-28999
Personalvetare,private,0.02797202797,29000-29999
Personalvetare,private,0.03234265734,30000-30999
Personalvetare,private,0.02972027972,31000-31999
Personalvetare,private,0.03321678322,32000-32999
Personalvetare,private,0.02534965035,33000-33999
Personalvetare,private,0.04195804196,34000-34999
Personalvetare,private,0.03321678322,35000-35999
Personalvetare,private,0.02884615385,36000-36999
Personalvetare,private,0.03496503497,37000-37999
Personalvetare,private,0.03933566434,38000-38999
Personalvetare,private,0.02272727273,39000-39999
Personalvetare,private,0.02972027972,40000-40999
Personalvetare,private,0.02447552448,41000-41999
Personalvetare,private,0.0270979021,42000-42999
Personalvetare,private,0.03059440559,43000-43999
Personalvetare,private,0.02534965035,44000-44999
Personalvetare,private,0.02185314685,45000-45999
Personalvetare,private,0.02185314685,46000-46999
Personalvetare,private,0.0270979021,47000-47999
Personalvetare,private,0.02185314685,48000-48999
Personalvetare,private,0.01573426573,49000-49999
Personalvetare,private,0.02622377622,50000-50999
Personalvetare,private,0.01660839161,51000-51999
Personalvetare,private,0.01835664336,52000-52999
Personalvetare,private,0.01660839161,53000-53999
Personalvetare,private,0.01223776224,54000-54999
Personalvetare,private,0.01923076923,55000-55999
Personalvetare,private,0.00961538462,56000-56999
Personalvetare,private,0.01048951049,57000-57999
Personalvetare,private,0.01136363636,58000-58999
Personalvetare,private,0.00786713287,59000-59999
Personalvetare,private,0.01048951049,60000-60999
Personalvetare,private,0.01048951049,61000-61999
Personalvetare,private,0.00699300699,62000-62999
Personalvetare,private,0.01136363636,63000-63999
Personalvetare,private,0.00524475524,64000-64999
Personalvetare,private,0.00786713287,65000-65999
Personalvetare,private,0.00699300699,66000-66999
Personalvetare,private,0.00611888112,67000-67999
Personalvetare,private,0.00262237762,68000-68999
Personalvetare,private,0.00786713287,69000-69999
Personalvetare,private,0.00174825175,70000-70999
Personalvetare,private,0.0034965035,71000-71999
Personalvetare,private,0.00611888112,72000-72999
Personalvetare,private,0.00437062937,73000-73999
Personalvetare,private,0.0034965035,74000-74999
Personalvetare,private,0.00786713287,75000-75999
Personalvetare,private,0.00087412587,76000-76999
Personalvetare,private,0.00437062937,77000-77999
Personalvetare,private,0.0034965035,78000-78999
Personalvetare,private,0.00087412587,79000-79999
Personalvetare,private,0.04545454545,80000-
