profession,publicprivate,value,income
Präst/Diakon,private,0.02740303541,-28999
Präst/Diakon,private,0.01897133221,29000-29999
Präst/Diakon,private,0.05775716695,30000-30999
Präst/Diakon,private,0.05902192243,31000-31999
Präst/Diakon,private,0.07209106239,32000-32999
Präst/Diakon,private,0.07462057336,33000-33999
Präst/Diakon,private,0.08220910624,34000-34999
Präst/Diakon,private,0.08431703204,35000-35999
Präst/Diakon,private,0.05691399663,36000-36999
Präst/Diakon,private,0.05860033727,37000-37999
Präst/Diakon,private,0.04468802698,38000-38999
Präst/Diakon,private,0.03456998314,39000-39999
Präst/Diakon,private,0.03246205734,40000-40999
Präst/Diakon,private,0.02192242833,41000-41999
Präst/Diakon,private,0.01854974705,42000-42999
Präst/Diakon,private,0.01812816189,43000-43999
Präst/Diakon,private,0.01096121417,44000-44999
Präst/Diakon,private,0.01138279933,45000-45999
Präst/Diakon,private,0.01686340641,46000-46999
Präst/Diakon,private,0.01517706577,47000-47999
Präst/Diakon,private,0.03119730185,48000-48999
Präst/Diakon,private,0.02234401349,49000-49999
Präst/Diakon,private,0.02403035413,50000-50999
Präst/Diakon,private,0.01306913997,51000-51999
Präst/Diakon,private,0.01517706577,52000-52999
Präst/Diakon,private,0.01180438449,53000-53999
Präst/Diakon,private,0.01180438449,54000-54999
Präst/Diakon,private,0.01096121417,55000-55999
Präst/Diakon,private,0.00801011804,56000-56999
Präst/Diakon,private,0.0349915683,5700-
