profession,publicprivate,value,income
Psykolog,public,0.01897256276,-26000
Psykolog,public,0.02772913018,26000-26999
Psykolog,public,0.01430239346,27000-27999
Psykolog,public,0.01546993579,28000-28999
Psykolog,public,0.02422650321,29000-29999
Psykolog,public,0.02335084647,30000-30999
Psykolog,public,0.02918855809,31000-31999
Psykolog,public,0.05166374781,32000-32999
Psykolog,public,0.05750145943,33000-33999
Psykolog,public,0.07676590776,34000-34999
Psykolog,public,0.08552247519,35000-35999
Psykolog,public,0.08260361938,36000-36999
Psykolog,public,0.07910099241,37000-37999
Psykolog,public,0.0808523059,38000-38999
Psykolog,public,0.06450671337,39000-39999
Psykolog,public,0.06392294221,40000-40999
Psykolog,public,0.04845300642,41000-41999
Psykolog,public,0.03940455342,42000-42999
Psykolog,public,0.02276707531,43000-43999
Psykolog,public,0.01634559253,44000-44999
Psykolog,public,0.01634559253,45000-45999
Psykolog,public,0.01138353765,46000-46999
Psykolog,public,0.00700525394,47000-47999
Psykolog,public,0.00875656743,48000-48999
Psykolog,public,0.03385872738,49000-
