profession,publicprivate,value,income
Socionom,private,0.053501180173,-25000
Socionom,private,0.031471282455,25000-25999
Socionom,private,0.039339103068,26000-26999
Socionom,private,0.049567269866,27000-27999
Socionom,private,0.058221872541,28000-28999
Socionom,private,0.059008654603,29000-29999
Socionom,private,0.067663257278,30000-30999
Socionom,private,0.064516129032,31000-31999
Socionom,private,0.062155782848,32000-32999
Socionom,private,0.066089693155,33000-33999
Socionom,private,0.029897718332,34000-34999
Socionom,private,0.056648308419,35000-35999
Socionom,private,0.052714398112,36000-36999
Socionom,private,0.040912667191,37000-37999
Socionom,private,0.029897718332,38000-38999
Socionom,private,0.026750590087,39000-39999
Socionom,private,0.025177025964,40000-40999
Socionom,private,0.018095987411,41000-41999
Socionom,private,0.021243115657,42000-42999
Socionom,private,0.014162077105,43000-43999
Socionom,private,0.008654602675,44000-44999
Socionom,private,0.014162077105,45000-45999
Socionom,private,0.007081038552,46000-46999
Socionom,private,0.012588512982,47000-47999
Socionom,private,0.00550747443,48000-48999
Socionom,private,0.00550747443,49000-49999
Socionom,private,0.007867820614,50000-50999
Socionom,private,0.003147128245,51000-51999
Socionom,private,0.003933910307,52000-52999
Socionom,private,0.002360346184,53000-53999
Socionom,private,0.003147128245,54000-54999
Socionom,private,0.00550747443,55000-55999
Socionom,private,0.004720692368,56000-56999
Socionom,private,0.001573564123,57000-57999
Socionom,private,0.003933910307,58000-58999
Socionom,private,0.001573564123,59000-59999
Socionom,private,0.00550747443,60000-60999
Socionom,private,0.002360346184,61000-61999
Socionom,private,0.033831628639,62000-
