profession,publicprivate,value,income
Tandhygienist,private,0.05939004815,-25000
Tandhygienist,private,0.03370786517,25000-25999
Tandhygienist,private,0.04333868379,26000-26999
Tandhygienist,private,0.04333868379,27000-27999
Tandhygienist,private,0.05939004815,28000-28999
Tandhygienist,private,0.07062600321,29000-29999
Tandhygienist,private,0.1155698234,30000-30999
Tandhygienist,private,0.09791332263,31000-31999
Tandhygienist,private,0.1428571429,32000-32999
Tandhygienist,private,0.07704654896,33000-33999
Tandhygienist,private,0.06260032103,34000-34999
Tandhygienist,private,0.06260032103,35000-35999
Tandhygienist,private,0.03370786517,36000-36999
Tandhygienist,private,0.02728731942,37000-37999
Tandhygienist,private,0.02247191011,38000-38999
Tandhygienist,private,0.00963081862,39000-39999
Tandhygienist,private,0.00802568218,40000-40999
Tandhygienist,private,0.0,41000-41999
Tandhygienist,private,0.0,42000-42999
Tandhygienist,private,0.0304975923,43000-
