profession,publicprivate,value,income
Tandhygienist,public,0.1752484192,-25000
Tandhygienist,public,0.07859078591,25000-25999
Tandhygienist,public,0.08039747064,26000-26999
Tandhygienist,public,0.09123757904,27000-27999
Tandhygienist,public,0.1038843722,28000-28999
Tandhygienist,public,0.09846431798,29000-29999
Tandhygienist,public,0.1029810298,30000-30999
Tandhygienist,public,0.08401084011,31000-31999
Tandhygienist,public,0.06233062331,32000-32999
Tandhygienist,public,0.027100271,33000-33999
Tandhygienist,public,0.02890695574,34000-34999
Tandhygienist,public,0.00903342367,35000-35999
Tandhygienist,public,0.00722673893,36000-36999
Tandhygienist,public,0.01174345077,37000-37999
Tandhygienist,public,0.0027100271,38000-38999
Tandhygienist,public,0.0054200542,39000-39999
Tandhygienist,public,0.03071364047,40000-
