profession,publicprivate,value,income
Enhetschef/gruppchef/ första linjens chef,private,0.025030156815,-30999
Enhetschef/gruppchef/ första linjens chef,private,0.006634499397,31000-31999
Enhetschef/gruppchef/ första linjens chef,private,0.008845999196,32000-32999
Enhetschef/gruppchef/ första linjens chef,private,0.011660635304,33000-33999
Enhetschef/gruppchef/ första linjens chef,private,0.013369521512,34000-34999
Enhetschef/gruppchef/ första linjens chef,private,0.016083634901,35000-35999
Enhetschef/gruppchef/ första linjens chef,private,0.016787293928,36000-36999
Enhetschef/gruppchef/ första linjens chef,private,0.019903498191,37000-37999
Enhetschef/gruppchef/ första linjens chef,private,0.02100924809,38000-38999
Enhetschef/gruppchef/ första linjens chef,private,0.016787293928,39000-39999
Enhetschef/gruppchef/ första linjens chef,private,0.026739043024,40000-40999
Enhetschef/gruppchef/ första linjens chef,private,0.02422597507,41000-41999
Enhetschef/gruppchef/ första linjens chef,private,0.023823884198,42000-42999
Enhetschef/gruppchef/ första linjens chef,private,0.027040611178,43000-43999
Enhetschef/gruppchef/ första linjens chef,private,0.029352633695,44000-44999
Enhetschef/gruppchef/ första linjens chef,private,0.033273019702,45000-45999
Enhetschef/gruppchef/ första linjens chef,private,0.033273019702,46000-46999
Enhetschef/gruppchef/ första linjens chef,private,0.028447929232,47000-47999
Enhetschef/gruppchef/ första linjens chef,private,0.033474065139,48000-48999
Enhetschef/gruppchef/ första linjens chef,private,0.03287092883,49000-49999
Enhetschef/gruppchef/ första linjens chef,private,0.041214314435,50000-50999
Enhetschef/gruppchef/ första linjens chef,private,0.031061519903,51000-51999
Enhetschef/gruppchef/ första linjens chef,private,0.032267792521,52000-52999
Enhetschef/gruppchef/ första linjens chef,private,0.027241656614,53000-53999
Enhetschef/gruppchef/ första linjens chef,private,0.028347406514,54000-54999
Enhetschef/gruppchef/ första linjens chef,private,0.031564133494,55000-55999
Enhetschef/gruppchef/ första linjens chef,private,0.023522316043,56000-56999
Enhetschef/gruppchef/ första linjens chef,private,0.025231202252,57000-57999
Enhetschef/gruppchef/ första linjens chef,private,0.02422597507,58000-58999
Enhetschef/gruppchef/ första linjens chef,private,0.022316043426,59000-59999
Enhetschef/gruppchef/ första linjens chef,private,0.02854845195,60000-60999
Enhetschef/gruppchef/ första linjens chef,private,0.016485725774,61000-61999
Enhetschef/gruppchef/ första linjens chef,private,0.017993566546,62000-62999
Enhetschef/gruppchef/ första linjens chef,private,0.014676316848,63000-63999
Enhetschef/gruppchef/ första linjens chef,private,0.015279453156,64000-64999
Enhetschef/gruppchef/ första linjens chef,private,0.017893043828,65000-65999
Enhetschef/gruppchef/ första linjens chef,private,0.014475271411,66000-66999
Enhetschef/gruppchef/ första linjens chef,private,0.012062726176,67000-67999
Enhetschef/gruppchef/ första linjens chef,private,0.011359067149,68000-68999
Enhetschef/gruppchef/ första linjens chef,private,0.010353839968,69000-69999
Enhetschef/gruppchef/ första linjens chef,private,0.012866907921,70000-70999
Enhetschef/gruppchef/ första linjens chef,private,0.006936067551,71000-71999
Enhetschef/gruppchef/ första linjens chef,private,0.006634499397,72000-72999
Enhetschef/gruppchef/ första linjens chef,private,0.006131885806,73000-73999
Enhetschef/gruppchef/ första linjens chef,private,0.002613590671,74000-74999
Enhetschef/gruppchef/ första linjens chef,private,0.007438681142,75000-75999
Enhetschef/gruppchef/ första linjens chef,private,0.004925613189,76000-76999
Enhetschef/gruppchef/ första linjens chef,private,0.004925613189,77000-77999
Enhetschef/gruppchef/ första linjens chef,private,0.00432247688,78000-78999
Enhetschef/gruppchef/ första linjens chef,private,0.00271411339,79000-79999
Enhetschef/gruppchef/ första linjens chef,private,0.003618817853,80000-80999
Enhetschef/gruppchef/ första linjens chef,private,0.00321672698,81000-81999
Enhetschef/gruppchef/ första linjens chef,private,0.003116204262,82000-82999
Enhetschef/gruppchef/ första linjens chef,private,0.002412545235,83000-83999
Enhetschef/gruppchef/ första linjens chef,private,0.002412545235,84000-84999
Enhetschef/gruppchef/ första linjens chef,private,0.030960997185,85000-
