profession,publicprivate,value,income
Enhetschef/gruppchef/ första linjens chef,public,0.023638572849,-31999
Enhetschef/gruppchef/ första linjens chef,public,0.008836849663,32000-32999
Enhetschef/gruppchef/ första linjens chef,public,0.011819286424,33000-33999
Enhetschef/gruppchef/ första linjens chef,public,0.016458632498,34000-34999
Enhetschef/gruppchef/ första linjens chef,public,0.018557384292,35000-35999
Enhetschef/gruppchef/ första linjens chef,public,0.024301336574,36000-36999
Enhetschef/gruppchef/ första linjens chef,public,0.033027725616,37000-37999
Enhetschef/gruppchef/ första linjens chef,public,0.038440296034,38000-38999
Enhetschef/gruppchef/ första linjens chef,public,0.0419750359,39000-39999
Enhetschef/gruppchef/ första linjens chef,public,0.052689716116,40000-40999
Enhetschef/gruppchef/ första linjens chef,public,0.051585109908,41000-41999
Enhetschef/gruppchef/ första linjens chef,public,0.058433668397,42000-42999
Enhetschef/gruppchef/ första linjens chef,public,0.06020103833,43000-43999
Enhetschef/gruppchef/ första linjens chef,public,0.056887219706,44000-44999
Enhetschef/gruppchef/ första linjens chef,public,0.056666298465,45000-45999
Enhetschef/gruppchef/ första linjens chef,public,0.049265436872,46000-46999
Enhetschef/gruppchef/ första linjens chef,public,0.045620236386,47000-47999
Enhetschef/gruppchef/ första linjens chef,public,0.040980890313,48000-48999
Enhetschef/gruppchef/ första linjens chef,public,0.030376670717,49000-49999
Enhetschef/gruppchef/ första linjens chef,public,0.029934828234,50000-50999
Enhetschef/gruppchef/ första linjens chef,public,0.024411797194,51000-51999
Enhetschef/gruppchef/ första linjens chef,public,0.024522257815,52000-52999
Enhetschef/gruppchef/ första linjens chef,public,0.023638572849,53000-53999
Enhetschef/gruppchef/ första linjens chef,public,0.015685408152,54000-54999
Enhetschef/gruppchef/ första linjens chef,public,0.01955152988,55000-55999
Enhetschef/gruppchef/ första linjens chef,public,0.013365735115,56000-56999
Enhetschef/gruppchef/ första linjens chef,public,0.014580801944,57000-57999
Enhetschef/gruppchef/ första linjens chef,public,0.014691262565,58000-58999
Enhetschef/gruppchef/ första linjens chef,public,0.012482050149,59000-59999
Enhetschef/gruppchef/ första linjens chef,public,0.015574947531,60000-60999
Enhetschef/gruppchef/ första linjens chef,public,0.011929747045,61000-61999
Enhetschef/gruppchef/ första linjens chef,public,0.012482050149,62000-62999
Enhetschef/gruppchef/ första linjens chef,public,0.009941455871,63000-63999
Enhetschef/gruppchef/ första linjens chef,public,0.005854412902,64000-64999
Enhetschef/gruppchef/ första linjens chef,public,0.031591737546,65000-
