profession,publicprivate,value,income
"Högsta chef, Högre chef, Mellanchef",private,0.02535377358,-38999
"Högsta chef, Högre chef, Mellanchef",private,0.00845125786,100000-100999
"Högsta chef, Högre chef, Mellanchef",private,0.00373427673,101000-101999
"Högsta chef, Högre chef, Mellanchef",private,0.00314465409,102000-102999
"Högsta chef, Högre chef, Mellanchef",private,0.00727201258,103000-103999
"Högsta chef, Högre chef, Mellanchef",private,0.00412735849,104000-104999
"Högsta chef, Högre chef, Mellanchef",private,0.0060927673,105000-105999
"Högsta chef, Högre chef, Mellanchef",private,0.00452044025,106000-106999
"Högsta chef, Högre chef, Mellanchef",private,0.00373427673,107000-107999
"Högsta chef, Högre chef, Mellanchef",private,0.00334119497,108000-108999
"Högsta chef, Högre chef, Mellanchef",private,0.00393081761,109000-109999
"Högsta chef, Högre chef, Mellanchef",private,0.0060927673,110000-110999
"Högsta chef, Högre chef, Mellanchef",private,0.00196540881,111000-111999
"Högsta chef, Högre chef, Mellanchef",private,0.00294811321,112000-112999
"Högsta chef, Högre chef, Mellanchef",private,0.00196540881,113000-113999
"Högsta chef, Högre chef, Mellanchef",private,0.00235849057,114000-114999
"Högsta chef, Högre chef, Mellanchef",private,0.00550314465,115000-115999
"Högsta chef, Högre chef, Mellanchef",private,0.00216194969,116000-116999
"Högsta chef, Högre chef, Mellanchef",private,0.00294811321,117000-117999
"Högsta chef, Högre chef, Mellanchef",private,0.00176886792,118000-118999
"Högsta chef, Högre chef, Mellanchef",private,0.00137578616,119000-119999
"Högsta chef, Högre chef, Mellanchef",private,0.00511006289,120000-120999
"Högsta chef, Högre chef, Mellanchef",private,0.00314465409,121000-121999
"Högsta chef, Högre chef, Mellanchef",private,0.00196540881,122000-122999
"Högsta chef, Högre chef, Mellanchef",private,0.00196540881,123000-123999
"Högsta chef, Högre chef, Mellanchef",private,0.00157232704,124000-124999
"Högsta chef, Högre chef, Mellanchef",private,0.00412735849,125000-125999
"Högsta chef, Högre chef, Mellanchef",private,0.00275157233,126000-126999
"Högsta chef, Högre chef, Mellanchef",private,0.00078616352,127000-127999
"Högsta chef, Högre chef, Mellanchef",private,0.00176886792,128000-128999
"Högsta chef, Högre chef, Mellanchef",private,0.00117924528,129000-129999
"Högsta chef, Högre chef, Mellanchef",private,0.06073113208,130000-
"Högsta chef, Högre chef, Mellanchef",private,0.00589622642,39000-39999
"Högsta chef, Högre chef, Mellanchef",private,0.00786163522,40000-40999
"Högsta chef, Högre chef, Mellanchef",private,0.0060927673,41000-41999
"Högsta chef, Högre chef, Mellanchef",private,0.0070754717,42000-42999
"Högsta chef, Högre chef, Mellanchef",private,0.00628930818,43000-43999
"Högsta chef, Högre chef, Mellanchef",private,0.00825471698,44000-44999
"Högsta chef, Högre chef, Mellanchef",private,0.01356132075,45000-45999
"Högsta chef, Högre chef, Mellanchef",private,0.00963050314,46000-46999
"Högsta chef, Högre chef, Mellanchef",private,0.01356132075,47000-47999
"Högsta chef, Högre chef, Mellanchef",private,0.01552672956,48000-48999
"Högsta chef, Högre chef, Mellanchef",private,0.01434748428,49000-49999
"Högsta chef, Högre chef, Mellanchef",private,0.02987421384,50000-50999
"Högsta chef, Högre chef, Mellanchef",private,0.01356132075,51000-51999
"Högsta chef, Högre chef, Mellanchef",private,0.01827830189,52000-52999
"Högsta chef, Högre chef, Mellanchef",private,0.01886792453,53000-53999
"Högsta chef, Högre chef, Mellanchef",private,0.01631289308,54000-54999
"Högsta chef, Högre chef, Mellanchef",private,0.02849842767,55000-55999
"Högsta chef, Högre chef, Mellanchef",private,0.0222091195,56000-56999
"Högsta chef, Högre chef, Mellanchef",private,0.0170990566,57000-57999
"Högsta chef, Högre chef, Mellanchef",private,0.01768867925,58000-58999
"Högsta chef, Högre chef, Mellanchef",private,0.01768867925,59000-59999
"Högsta chef, Högre chef, Mellanchef",private,0.02594339623,60000-60999
"Högsta chef, Högre chef, Mellanchef",private,0.01434748428,61000-61999
"Högsta chef, Högre chef, Mellanchef",private,0.0170990566,62000-62999
"Högsta chef, Högre chef, Mellanchef",private,0.01552672956,63000-63999
"Högsta chef, Högre chef, Mellanchef",private,0.0161163522,64000-64999
"Högsta chef, Högre chef, Mellanchef",private,0.02142295597,65000-65999
"Högsta chef, Högre chef, Mellanchef",private,0.01533018868,66000-66999
"Högsta chef, Högre chef, Mellanchef",private,0.0161163522,67000-67999
"Högsta chef, Högre chef, Mellanchef",private,0.0151336478,68000-68999
"Högsta chef, Högre chef, Mellanchef",private,0.01395440252,69000-69999
"Högsta chef, Högre chef, Mellanchef",private,0.02594339623,70000-70999
"Högsta chef, Högre chef, Mellanchef",private,0.01434748428,71000-71999
"Högsta chef, Högre chef, Mellanchef",private,0.01768867925,72000-72999
"Högsta chef, Högre chef, Mellanchef",private,0.01493710692,73000-73999
"Högsta chef, Högre chef, Mellanchef",private,0.01218553459,74000-74999
"Högsta chef, Högre chef, Mellanchef",private,0.02024371069,75000-75999
"Högsta chef, Högre chef, Mellanchef",private,0.01080974843,76000-76999
"Högsta chef, Högre chef, Mellanchef",private,0.01336477987,77000-77999
"Högsta chef, Högre chef, Mellanchef",private,0.01238207547,78000-78999
"Högsta chef, Högre chef, Mellanchef",private,0.01120283019,79000-79999
"Högsta chef, Högre chef, Mellanchef",private,0.01749213836,80000-80999
"Högsta chef, Högre chef, Mellanchef",private,0.01238207547,81000-81999
"Högsta chef, Högre chef, Mellanchef",private,0.01218553459,82000-82999
"Högsta chef, Högre chef, Mellanchef",private,0.01159591195,83000-83999
