profession,publicprivate,value,income
"Högsta chef, Högre chef, Mellanchef",public,0.02014573511,-41999
"Högsta chef, Högre chef, Mellanchef",public,0.00385769396,100000-100999
"Högsta chef, Högre chef, Mellanchef",public,0.03000428633,101000-
"Högsta chef, Högre chef, Mellanchef",public,0.01071581655,42000-42999
"Högsta chef, Högre chef, Mellanchef",public,0.01071581655,43000-43999
"Högsta chef, Högre chef, Mellanchef",public,0.00985855122,44000-44999
"Högsta chef, Högre chef, Mellanchef",public,0.01628804115,45000-45999
"Högsta chef, Högre chef, Mellanchef",public,0.01714530647,46000-46999
"Högsta chef, Högre chef, Mellanchef",public,0.02143163309,47000-47999
"Högsta chef, Högre chef, Mellanchef",public,0.01885983712,48000-48999
"Högsta chef, Högre chef, Mellanchef",public,0.02443206172,49000-49999
"Högsta chef, Högre chef, Mellanchef",public,0.0325760823,50000-50999
"Högsta chef, Högre chef, Mellanchef",public,0.02743249036,51000-51999
"Högsta chef, Högre chef, Mellanchef",public,0.03343334762,52000-52999
"Högsta chef, Högre chef, Mellanchef",public,0.03000428633,53000-53999
"Högsta chef, Högre chef, Mellanchef",public,0.02828975568,54000-54999
"Högsta chef, Högre chef, Mellanchef",public,0.03943420489,55000-55999
"Högsta chef, Högre chef, Mellanchef",public,0.03900557222,56000-56999
"Högsta chef, Högre chef, Mellanchef",public,0.03129018431,57000-57999
"Högsta chef, Högre chef, Mellanchef",public,0.03086155165,58000-58999
"Högsta chef, Högre chef, Mellanchef",public,0.02486069438,59000-59999
"Högsta chef, Högre chef, Mellanchef",public,0.03386198028,60000-60999
"Högsta chef, Högre chef, Mellanchef",public,0.02571795971,61000-61999
"Högsta chef, Högre chef, Mellanchef",public,0.03000428633,62000-62999
"Högsta chef, Högre chef, Mellanchef",public,0.02743249036,63000-63999
"Högsta chef, Högre chef, Mellanchef",public,0.02400342906,64000-64999
"Högsta chef, Högre chef, Mellanchef",public,0.0235747964,65000-65999
"Högsta chef, Högre chef, Mellanchef",public,0.02528932705,66000-66999
"Högsta chef, Högre chef, Mellanchef",public,0.01885983712,67000-67999
"Högsta chef, Högre chef, Mellanchef",public,0.01500214316,68000-68999
"Högsta chef, Högre chef, Mellanchef",public,0.01585940849,69000-69999
"Högsta chef, Högre chef, Mellanchef",public,0.02443206172,70000-70999
"Högsta chef, Högre chef, Mellanchef",public,0.01928846978,71000-71999
"Högsta chef, Högre chef, Mellanchef",public,0.02186026575,72000-72999
"Högsta chef, Högre chef, Mellanchef",public,0.01371624518,73000-73999
"Högsta chef, Högre chef, Mellanchef",public,0.01628804115,74000-74999
"Högsta chef, Högre chef, Mellanchef",public,0.01543077583,75000-75999
"Högsta chef, Högre chef, Mellanchef",public,0.01114444921,76000-76999
"Högsta chef, Högre chef, Mellanchef",public,0.00685812259,77000-77999
"Högsta chef, Högre chef, Mellanchef",public,0.00985855122,78000-78999
"Högsta chef, Högre chef, Mellanchef",public,0.00642948993,79000-79999
"Högsta chef, Högre chef, Mellanchef",public,0.01328761252,80000-80999
"Högsta chef, Högre chef, Mellanchef",public,0.0055722246,81000-81999
"Högsta chef, Högre chef, Mellanchef",public,0.00728675525,82000-82999
"Högsta chef, Högre chef, Mellanchef",public,0.00685812259,83000-83999
"Högsta chef, Högre chef, Mellanchef",public,0.00814402057,84000-84999
"Högsta chef, Högre chef, Mellanchef",public,0.00814402057,85000-85999
"Högsta chef, Högre chef, Mellanchef",public,0.00642948993,86000-86999
"Högsta chef, Högre chef, Mellanchef",public,0.00600085727,87000-87999
"Högsta chef, Högre chef, Mellanchef",public,0.00214316331,88000-88999
"Högsta chef, Högre chef, Mellanchef",public,0.00642948993,89000-89999
"Högsta chef, Högre chef, Mellanchef",public,0.0090012859,90000-90999
"Högsta chef, Högre chef, Mellanchef",public,0.00428632662,91000-91999
"Högsta chef, Högre chef, Mellanchef",public,0.0055722246,92000-92999
"Högsta chef, Högre chef, Mellanchef",public,0.0055722246,93000-93999
"Högsta chef, Högre chef, Mellanchef",public,0.00300042863,94000-94999
"Högsta chef, Högre chef, Mellanchef",public,0.00385769396,95000-95999
"Högsta chef, Högre chef, Mellanchef",public,0.00300042863,96000-96999
"Högsta chef, Högre chef, Mellanchef",public,0.00257179597,97000-97999
"Högsta chef, Högre chef, Mellanchef",public,0.00257179597,98000-98999
"Högsta chef, Högre chef, Mellanchef",public,0.00471495928,99000-99999
