profession,publicprivate,value,income
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.025853814236,-39999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.012767315672,40000-40999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.008298755187,41000-41999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.015320778806,42000-42999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.013405681455,43000-43999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.017874241941,44000-44999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.024257899777,45000-45999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.02489626556,46000-46999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.020746887967,47000-47999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.031279923396,48000-48999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.027449728695,49000-49999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.036386849665,50000-50999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.026172997127,51000-51999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.028726460262,52000-52999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.02840727737,53000-53999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.029045643154,54000-54999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.034790935206,55000-55999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.025215448452,56000-56999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.026492180019,57000-57999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.025853814236,58000-58999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.02489626556,59000-59999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.031279923396,60000-60999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.02138525375,61000-61999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.030322374721,62000-62999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.026811362911,63000-63999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.023300351101,64000-64999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.024257899777,65000-65999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.019789339291,66000-66999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.013724864347,67000-67999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.015639961698,68000-68999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.018193424832,69000-69999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.026811362911,70000-70999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.015639961698,71000-71999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.022661985318,72000-72999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.009575486754,73000-73999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.013405681455,74000-74999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.015001595914,75000-75999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.010852218321,76000-76999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.009256303862,77000-77999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.013086498564,78000-78999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.006702840728,79000-79999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.010533035429,80000-80999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.011171401213,81000-81999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.005426109161,82000-82999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.007979572295,83000-83999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.007979572295,84000-84999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.006383657836,85000-85999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.004468560485,86000-86999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.005106926269,87000-87999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.005426109161,88000-88999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.004787743377,89000-89999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.006064474944,90000-90999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.002553463134,91000-91999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.003191828918,92000-92999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.003830194702,93000-93999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.001276731567,94000-94999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.002553463134,95000-95999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.003830194702,96000-96999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,0.031599106288,97000-
