percentile,profession,publicprivate,income
3,Enhetschef/gruppchef/ första linjens chef,public,32500
4,Enhetschef/gruppchef/ första linjens chef,public,33500
5,Enhetschef/gruppchef/ första linjens chef,public,34100
6,Enhetschef/gruppchef/ första linjens chef,public,34900
7,Enhetschef/gruppchef/ första linjens chef,public,35200
8,Enhetschef/gruppchef/ första linjens chef,public,36000
9,Enhetschef/gruppchef/ första linjens chef,public,36300
10,Enhetschef/gruppchef/ första linjens chef,public,36770
11,Enhetschef/gruppchef/ första linjens chef,public,37000
12,Enhetschef/gruppchef/ första linjens chef,public,37400
13,Enhetschef/gruppchef/ första linjens chef,public,37700
14,Enhetschef/gruppchef/ första linjens chef,public,38000
15,Enhetschef/gruppchef/ första linjens chef,public,38173
16,Enhetschef/gruppchef/ första linjens chef,public,38500
17,Enhetschef/gruppchef/ första linjens chef,public,38750
18,Enhetschef/gruppchef/ första linjens chef,public,39000
19,Enhetschef/gruppchef/ första linjens chef,public,39200
20,Enhetschef/gruppchef/ första linjens chef,public,39500
21,Enhetschef/gruppchef/ första linjens chef,public,39700
22,Enhetschef/gruppchef/ första linjens chef,public,40000
24,Enhetschef/gruppchef/ första linjens chef,public,40200
25,Enhetschef/gruppchef/ första linjens chef,public,40500
26,Enhetschef/gruppchef/ första linjens chef,public,40700
27,Enhetschef/gruppchef/ första linjens chef,public,41000
29,Enhetschef/gruppchef/ första linjens chef,public,41200
30,Enhetschef/gruppchef/ första linjens chef,public,41500
31,Enhetschef/gruppchef/ första linjens chef,public,41700
32,Enhetschef/gruppchef/ första linjens chef,public,41900
33,Enhetschef/gruppchef/ första linjens chef,public,42000
34,Enhetschef/gruppchef/ första linjens chef,public,42100
35,Enhetschef/gruppchef/ första linjens chef,public,42365
36,Enhetschef/gruppchef/ första linjens chef,public,42500
37,Enhetschef/gruppchef/ första linjens chef,public,42700
38,Enhetschef/gruppchef/ första linjens chef,public,43000
40,Enhetschef/gruppchef/ första linjens chef,public,43100
41,Enhetschef/gruppchef/ första linjens chef,public,43363
42,Enhetschef/gruppchef/ första linjens chef,public,43500
43,Enhetschef/gruppchef/ första linjens chef,public,43700
44,Enhetschef/gruppchef/ första linjens chef,public,44000
46,Enhetschef/gruppchef/ första linjens chef,public,44200
47,Enhetschef/gruppchef/ första linjens chef,public,44400
48,Enhetschef/gruppchef/ första linjens chef,public,44500
49,Enhetschef/gruppchef/ första linjens chef,public,44800
50,Enhetschef/gruppchef/ första linjens chef,public,45000
52,Enhetschef/gruppchef/ första linjens chef,public,45100
53,Enhetschef/gruppchef/ första linjens chef,public,45300
54,Enhetschef/gruppchef/ första linjens chef,public,45500
55,Enhetschef/gruppchef/ första linjens chef,public,45800
56,Enhetschef/gruppchef/ första linjens chef,public,46000
57,Enhetschef/gruppchef/ första linjens chef,public,46100
58,Enhetschef/gruppchef/ första linjens chef,public,46400
59,Enhetschef/gruppchef/ första linjens chef,public,46600
60,Enhetschef/gruppchef/ första linjens chef,public,46830
61,Enhetschef/gruppchef/ första linjens chef,public,47000
62,Enhetschef/gruppchef/ första linjens chef,public,47150
63,Enhetschef/gruppchef/ första linjens chef,public,47400
64,Enhetschef/gruppchef/ första linjens chef,public,47650
65,Enhetschef/gruppchef/ första linjens chef,public,48000
67,Enhetschef/gruppchef/ första linjens chef,public,48390
68,Enhetschef/gruppchef/ första linjens chef,public,48600
69,Enhetschef/gruppchef/ första linjens chef,public,49000
70,Enhetschef/gruppchef/ första linjens chef,public,49100
71,Enhetschef/gruppchef/ första linjens chef,public,49500
72,Enhetschef/gruppchef/ första linjens chef,public,50000
74,Enhetschef/gruppchef/ första linjens chef,public,50500
75,Enhetschef/gruppchef/ första linjens chef,public,51000
76,Enhetschef/gruppchef/ första linjens chef,public,51200
77,Enhetschef/gruppchef/ första linjens chef,public,51600
78,Enhetschef/gruppchef/ första linjens chef,public,52000
79,Enhetschef/gruppchef/ första linjens chef,public,52500
80,Enhetschef/gruppchef/ första linjens chef,public,53000
81,Enhetschef/gruppchef/ första linjens chef,public,53200
82,Enhetschef/gruppchef/ första linjens chef,public,53750
83,Enhetschef/gruppchef/ första linjens chef,public,54300
84,Enhetschef/gruppchef/ första linjens chef,public,55000
85,Enhetschef/gruppchef/ första linjens chef,public,55400
86,Enhetschef/gruppchef/ första linjens chef,public,56000
87,Enhetschef/gruppchef/ första linjens chef,public,56800
88,Enhetschef/gruppchef/ första linjens chef,public,57500
89,Enhetschef/gruppchef/ första linjens chef,public,58000
90,Enhetschef/gruppchef/ första linjens chef,public,58900
91,Enhetschef/gruppchef/ första linjens chef,public,59700
92,Enhetschef/gruppchef/ första linjens chef,public,60200
93,Enhetschef/gruppchef/ första linjens chef,public,61000
94,Enhetschef/gruppchef/ första linjens chef,public,61900
95,Enhetschef/gruppchef/ första linjens chef,public,62600
96,Enhetschef/gruppchef/ första linjens chef,public,63500
97,Enhetschef/gruppchef/ första linjens chef,public,65000
