percentile,profession,publicprivate,income
3,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,37000
4,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,38800
5,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,40000
6,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,41000
7,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,42000
8,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,43000
9,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,44300
10,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,45000
11,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,46000
12,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,46808
13,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,47500
14,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,48000
15,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,48500
16,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,49200
17,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,49950
18,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,50000
19,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,50500
20,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,51000
21,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,51610
22,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,52000
23,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,52750
24,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,53200
25,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,53990
26,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,54400
27,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,55000
28,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,55150
29,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,55800
30,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,56250
31,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,57000
32,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",private,57500
