percentile,profession,publicprivate,income
3,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,42900
4,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,43900
5,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,44600
6,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,45300
7,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,46000
8,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,46600
9,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,47000
10,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,47500
11,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,48000
12,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,48500
13,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,49000
14,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,49500
15,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,50000
17,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,50400
18,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,50750
19,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,51000
20,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,51456
21,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,52000
23,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,52400
24,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,52700
25,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,53000
26,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,53200
27,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,53800
28,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,54000
29,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,54450
30,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,54900
31,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,55000
32,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,55200
33,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,55500
34,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,55900
35,"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",public,56000
