percentile,profession,publicprivate,income
3,Arbetsterapeut,private,24750
4,Arbetsterapeut,private,25000
5,Arbetsterapeut,private,25000
6,Arbetsterapeut,private,25300
7,Arbetsterapeut,private,25600
8,Arbetsterapeut,private,25800
9,Arbetsterapeut,private,26000
10,Arbetsterapeut,private,26000
11,Arbetsterapeut,private,26300
12,Arbetsterapeut,private,26500
13,Arbetsterapeut,private,26600
14,Arbetsterapeut,private,26750
15,Arbetsterapeut,private,26872
16,Arbetsterapeut,private,27000
17,Arbetsterapeut,private,27000
18,Arbetsterapeut,private,27000
19,Arbetsterapeut,private,27025
20,Arbetsterapeut,private,27150
21,Arbetsterapeut,private,27210
22,Arbetsterapeut,private,27500
23,Arbetsterapeut,private,27500
24,Arbetsterapeut,private,27600
25,Arbetsterapeut,private,27758
26,Arbetsterapeut,private,28000
27,Arbetsterapeut,private,28000
28,Arbetsterapeut,private,28000
29,Arbetsterapeut,private,28200
30,Arbetsterapeut,private,28300
31,Arbetsterapeut,private,28500
32,Arbetsterapeut,private,28500
33,Arbetsterapeut,private,28600
34,Arbetsterapeut,private,28700
35,Arbetsterapeut,private,28900
36,Arbetsterapeut,private,29000
37,Arbetsterapeut,private,29000
38,Arbetsterapeut,private,29100
39,Arbetsterapeut,private,29200
40,Arbetsterapeut,private,29400
41,Arbetsterapeut,private,29500
42,Arbetsterapeut,private,29500
43,Arbetsterapeut,private,29500
44,Arbetsterapeut,private,29600
45,Arbetsterapeut,private,29640
46,Arbetsterapeut,private,29790
47,Arbetsterapeut,private,29900
48,Arbetsterapeut,private,29930
49,Arbetsterapeut,private,30000
50,Arbetsterapeut,private,30000
51,Arbetsterapeut,private,30100
52,Arbetsterapeut,private,30208
53,Arbetsterapeut,private,30300
54,Arbetsterapeut,private,30445
55,Arbetsterapeut,private,30500
56,Arbetsterapeut,private,30529
57,Arbetsterapeut,private,30650
58,Arbetsterapeut,private,30736
59,Arbetsterapeut,private,30805
60,Arbetsterapeut,private,30900
61,Arbetsterapeut,private,31000
62,Arbetsterapeut,private,31000
63,Arbetsterapeut,private,31030
64,Arbetsterapeut,private,31257
65,Arbetsterapeut,private,31445
66,Arbetsterapeut,private,31500
67,Arbetsterapeut,private,31600
68,Arbetsterapeut,private,31767
69,Arbetsterapeut,private,31980
70,Arbetsterapeut,private,32000
71,Arbetsterapeut,private,32000
72,Arbetsterapeut,private,32200
73,Arbetsterapeut,private,32300
74,Arbetsterapeut,private,32500
75,Arbetsterapeut,private,32700
76,Arbetsterapeut,private,32800
77,Arbetsterapeut,private,32970
78,Arbetsterapeut,private,33000
79,Arbetsterapeut,private,33150
80,Arbetsterapeut,private,33400
81,Arbetsterapeut,private,33500
82,Arbetsterapeut,private,33700
83,Arbetsterapeut,private,34000
84,Arbetsterapeut,private,34250
85,Arbetsterapeut,private,34600
86,Arbetsterapeut,private,35000
87,Arbetsterapeut,private,35000
88,Arbetsterapeut,private,35442
89,Arbetsterapeut,private,35750
90,Arbetsterapeut,private,36000
91,Arbetsterapeut,private,36500
92,Arbetsterapeut,private,37240
93,Arbetsterapeut,private,38000
94,Arbetsterapeut,private,39500
95,Arbetsterapeut,private,40000
96,Arbetsterapeut,private,40500
97,Arbetsterapeut,private,42500
